RecordingTime [ms],Time of Day [h:m:s:ms],Category Binocular,Index Binocular,Point of Regard Binocular X [px],Point of Regard Binocular Y [px],AOI Name Binocular
514.5,23:03:54:678,Visual Intake,938,369,128.9,Spool 3
713.6,23:03:54:878,Saccade,1,331,128.9,Spool 3
729.7,23:03:54:894,-,-,0,0,-
746.5,23:03:54:911,-,-,0,0,-
763.3,23:03:54:927,-,-,0,0,-
779.5,23:03:54:944,-,-,0,0,-
796.6,23:03:54:961,Visual Intake,939,454,124,Spool 3
962.6,23:03:55:127,Saccade,2,241,244,Spool 3
978.9,23:03:55:143,-,-,0,0,-
995.4,23:03:55:159,-,-,0,0,-
1012,23:03:55:176,-,-,0,0,-
1028.6,23:03:55:193,Visual Intake,940,764.1,865,Spool 3
1443.5,23:03:55:608,Visual Intake,940,145,313,Spool 3
1460.6,23:03:55:625,Saccade,3,675,89,Spool 3
196770.7,23:07:16:287,Visual Intake,2233,241,612.1,Spool 4
196837.4,23:07:16:353,Saccade,237,286.3,612.1,Spool 4
1095.6,23:03:49:782,Visual Intake,533,796,293.7,Spool 2
1112.6,23:03:49:799,Visual Intake,533,574.5,463,Spool 2
5841.9,23:03:54:528,Visual Intake,544,327.4,2,Spool 2
5858.4,23:03:54:544,Visual Intake,544,968,455,Spool 2
5874.9,23:03:54:561,Saccade,14,142,644,Spool 2
73783.1,23:05:18:813,Visual Intake,2438,354,173.2,Spool 5
74778.8,23:05:19:809,Visual Intake,2442,439.1,281.1,Spool 5
6090.4,23:04:16:354,Visual Intake,2635,245,418.3,Spool 6
6107,23:04:16:371,Visual Intake,2635,524.6,241,Spool 6
8994.7,23:04:19:259,Visual Intake,2647,443,139.4,Spool 6
21524,23:04:31:788,-,-,0,0,White Space
21540.5,23:04:31:805,-,-,0,0,White Space
21556.9,23:04:31:821,-,-,0,0,White Space
21955.4,23:04:32:219,-,-,0,0,-
21971.8,23:04:32:236,-,-,0,0,-
24926.8,23:04:40:558,Visual Intake,3026,314,403.4,Spool 7
24942.7,23:04:40:574,Visual Intake,3026,91.5,134,Spool 7
27282.4,23:04:42:913,-,-,0,0,-
27299.8,23:04:42:931,-,-,0,0,-
27315.8,23:04:42:947,Visual Intake,3034,692,303.9,Spool 7
2754.6,23:03:45:786,Visual Intake,244,314,270.6,Spool 1
2771,23:03:45:802,Visual Intake,244,668.9,865,Spool 1
2788,23:03:45:819,Visual Intake,244,234,270.6,Spool 1
5476,23:03:48:507,-,-,0,0,White Space
5492.6,23:03:48:524,-,-,0,0,White Space
5509.2,23:03:48:540,-,-,0,0,White Space
5525.8,23:03:48:557,-,-,0,0,White Space
5542.6,23:03:48:574,-,-,0,0,White Space
5558.7,23:03:48:590,-,-,0,0,White Space
5575.5,23:03:48:607,-,-,0,0,White Space
5592.3,23:03:48:623,-,-,0,0,White Space
5608.8,23:03:48:640,-,-,0,0,White Space
5625.7,23:03:48:657,-,-,0,0,-
5641.9,23:03:48:673,-,-,0,0,-
5658.5,23:03:48:690,-,-,0,0,-
16694.5,23:03:59:725,Visual Intake,278,865,423,Spool 1
16711,23:03:59:742,Visual Intake,278,422,131,Spool 1
16727.6,23:03:59:759,Visual Intake,278,245,976,Spool 1
16744.4,23:03:59:775,Visual Intake,278,564,353,Spool 1
16761.1,23:03:59:792,Visual Intake,278,333,976,Spool 1
16777.3,23:03:59:808,Visual Intake,278,865,531,Spool 1
16794.3,23:03:59:825,Visual Intake,278,657,123,Spool 1
16810.6,23:03:59:842,Visual Intake,278,464,312,Spool 1
16081.5,23:04:37:044,Visual Intake,3523,620,684,Spool 8
16097.6,23:04:37:061,Visual Intake,3523,245,854,Spool 8
16114.3,23:04:37:077,Visual Intake,3523,353,242,Spool 8
16130.7,23:04:37:094,Visual Intake,3523,311,56,Spool 8
16147.4,23:04:37:110,Visual Intake,3523,324,664,Spool 8
16164.4,23:04:37:127,Visual Intake,3523,978,754,Spool 8
16180.6,23:04:37:144,Visual Intake,3523,356,423,Spool 8
16197.2,23:04:37:160,Visual Intake,3523,466,867,Spool 8
16213.8,23:04:37:177,Visual Intake,3523,245,245,Spool 8
16230.1,23:04:37:193,Visual Intake,3523,645,245,Spool 8
21922.8,23:04:42:886,-,-,0,0,-
21939.1,23:04:42:902,-,-,0,0,-
21955.9,23:04:42:919,-,-,0,0,-
31664.1,23:04:52:627,-,-,0,0,White Space
31680.5,23:04:52:643,-,-,0,0,White Space
62614.2,23:05:23:577,Visual Intake,3651,864,98,Spool 8
62630.9,23:05:23:594,Visual Intake,3651,352,564,Spool 8
62647.3,23:05:23:610,Visual Intake,3651,342,453,Spool 8
62663.9,23:05:23:627,Visual Intake,3651,123,132,Spool 8
62680.6,23:05:23:644,Visual Intake,3651,876,123,Spool 8
62697.2,23:05:23:660,Visual Intake,3651,453,756,Spool 8
62714.4,23:05:23:677,Visual Intake,3651,231,857,Spool 8
62730.4,23:05:23:693,Visual Intake,3651,256,354,Spool 8
62746.9,23:05:23:710,Visual Intake,3651,234,875,Spool 8
29871.7,23:05:01:302,Visual Intake,4262,543,452,Spool 10
29888.3,23:05:01:318,Visual Intake,4262,890,546,Spool 10
29905,23:05:01:335,Visual Intake,4262,433,875,Spool 10
29921.5,23:05:01:352,Visual Intake,4262,278,356,Spool 10
29938,23:05:01:368,Visual Intake,4262,25,432,Spool 10
29954.5,23:05:01:385,Visual Intake,4262,564,456,Spool 10
29971.2,23:05:01:401,Visual Intake,4262,978,890,Spool 10
29987.9,23:05:01:418,Visual Intake,4262,356,987,Spool 10
30004.5,23:05:01:434,Visual Intake,4262,453,244,Spool 10
33389.7,23:05:04:820,-,-,0,0,White Space
33406.7,23:05:04:837,-,-,0,0,-
33423.1,23:05:04:853,-,-,0,0,-
33439.5,23:05:04:870,-,-,0,0,-
33456.2,23:05:04:886,-,-,0,0,-
33472.9,23:05:04:903,-,-,0,0,White Space
33489.6,23:05:04:920,-,-,0,0,White Space
33505.9,23:05:04:936,-,-,0,0,White Space
33522.7,23:05:04:953,-,-,0,0,White Space
33539.2,23:05:04:969,-,-,0,0,White Space
33555.8,23:05:04:986,-,-,0,0,White Space
978.9,23:03:55:143,-,-,0,0,-
995.4,23:03:55:159,-,-,0,0,-
1012,23:03:55:176,-,-,0,0,-
1028.6,23:03:55:193,Visual Intake,940,764.1,865,Spool 3
1443.5,23:03:55:608,Visual Intake,940,145,313,Spool 3
1460.6,23:03:55:625,Saccade,3,675,89,Spool 3
196770.7,23:07:16:287,Visual Intake,2233,241,612.1,Spool 4
196837.4,23:07:16:353,Saccade,237,286.3,612.1,Spool 4
1095.6,23:03:49:782,Visual Intake,533,796,293.7,Spool 2
1112.6,23:03:49:799,Visual Intake,533,574.5,463,Spool 2
5841.9,23:03:54:528,Visual Intake,544,327.4,2,Spool 2
5858.4,23:03:54:544,Visual Intake,544,968,455,Spool 2
5874.9,23:03:54:561,Saccade,14,142,644,Spool 2
73783.1,23:05:18:813,Visual Intake,2438,354,173.2,Spool 5
74778.8,23:05:19:809,Visual Intake,2442,439.1,281.1,Spool 5
6090.4,23:04:16:354,Visual Intake,2635,245,418.3,Spool 6
6107,23:04:16:371,Visual Intake,2635,524.6,241,Spool 6
8994.7,23:04:19:259,Visual Intake,2647,443,139.4,Spool 6
29954.5,23:05:01:385,Visual Intake,4262,564,456,Spool 10
5858.4,23:03:54:544,Visual Intake,544,968,455,Spool 2
5874.9,23:03:54:561,Saccade,14,142,644,Spool 2
73783.1,23:05:18:813,Visual Intake,2438,354,173.2,Spool 5
74778.8,23:05:19:809,Visual Intake,2442,439.1,281.1,Spool 5
6090.4,23:04:16:354,Visual Intake,2635,245,418.3,Spool 6
6107,23:04:16:371,Visual Intake,2635,524.6,241,Spool 6
8994.7,23:04:19:259,Visual Intake,2647,443,139.4,Spool 6
21524,23:04:31:788,-,-,0,0,White Space
21540.5,23:04:31:805,-,-,0,0,White Space
21556.9,23:04:31:821,-,-,0,0,White Space
21955.4,23:04:32:219,-,-,0,0,-
21971.8,23:04:32:236,-,-,0,0,-
24926.8,23:04:40:558,Visual Intake,3026,314,403.4,Spool 7
24942.7,23:04:40:574,Visual Intake,3026,91.5,134,Spool 7
27282.4,23:04:42:913,-,-,0,0,-
27299.8,23:04:42:931,-,-,0,0,-
27315.8,23:04:42:947,Visual Intake,3034,692,303.9,Spool 7
2754.6,23:03:45:786,Visual Intake,244,314,270.6,Spool 1
2771,23:03:45:802,Visual Intake,244,668.9,865,Spool 1
2788,23:03:45:819,Visual Intake,244,234,270.6,Spool 1
29971.2,23:05:01:401,Visual Intake,4262,978,890,Spool 10
29987.9,23:05:01:418,Visual Intake,4262,356,987,Spool 10
30004.5,23:05:01:434,Visual Intake,4262,453,244,Spool 10
