link,study,pointsType,analysis,period,viewingGap,minViewingTime,participant,viewingCountPerStimulus,viewingCountPerStimulusMean,viewingCountPerStimulusMedian,viewingCountPerParticipant,viewingDurationPerStimulus,viewingDurationPerStimulusMean,viewingDurationPerStimulusMedian,viewingDurationPerParticipant,slideHullCoveragePerStimulus,slideHullCoveragePerStimulusMean,slideHullCoveragePerStimulusMedian,slideHullCoveragePerParticipant,rawRowCount,gazepointCount,gazepointProportion,fixationCount,fixationProportion,# Errors,Age,Card Rotation Score,Composite Spatial Cognition Score,Cube Comparison Score,Direct Work %,Engineering Drawings Training,Indirect Work %,Rework %,experimentTime,Work Experience,allViewingTime
http://localhost:3000/studies/PXe8xDfEhpeH4sPLW/participants/2rYMD4nr23Z7745w9,Pipe Spool Assembly,fixations,sdafsgdfhg,5000,5000,10000,Participant 15,"1,1,4,6,3,2,1,5,4,2",2.9,2.5,29,"20279.5,18105.4,23084.7,11417.699999999997,11417.800000000003,30751.70000000001,35148.6,94560.4,12380,29855,42915.600000000006,17225.800000000017,38484.600000000006,39828.8,19682.100000000006,56789.7,40509.2,13658.1,41621.299999999996,18404.699999999997,56424.2,16263.600000000006,21391.199999999983,25722.7,28162.399999999994,16064.399999999994,27265.999999999985,11019.4,14869.499999999996",28734.624137931034,23084.7,833304.1,"0.15045585510520398,0.038704697502048926,0.03985286135988975,0.01305839317224276,0.00800642641637666,0.025648498312745592,0.0698326958102039,0.026255763276697073,0.04438006324318911,0.015516106371220112,0.08614535328776718,0.009612965492031032,0.03722102197310705,0.033573199328975616,0.1675066611080244,0.06880530757158303,0.016461294440752037,0.05825929874958596,0.06250838456481421,0.018523002792601658,0.013920076543490431,0.013094045872843787,0.029122039223812526,0.10391987861093313,0.017846022974728565,0.03293782522182291,0.02962699866765018,0.03629114326612963,0.019039755027134724",0.044349159837503656,0.03293782522182291,,192442,31395,0.16314006298001477,1874,0.059691033604077084,0,41,35,63.57142857,10,67.9245283,0,28.30188679,3.773584906,1584,14,936892.5
http://localhost:3000/studies/PXe8xDfEhpeH4sPLW/participants/5XwtoG7NTxnXCg8w3,Pipe Spool Assembly,fixations,sdafsgdfhg,5000,5000,10000,Participant 11,"6,4,9,10,4,9,4,10,8,6",7,7,70,"38866.600000000006,16910.699999999997,20014.100000000006,65452.29999999999,25224.79999999999,11350.900000000023,24677.2,16478.899999999994,46732.600000000006,21076.399999999994,29639.2,31846.300000000003,24578.20000000001,10903.100000000006,13906.799999999988,14221.899999999965,13392.299999999988,58232.600000000035,29192.099999999977,31929.3,14852.5,19499.199999999997,17690.600000000006,10189.599999999977,52706.70000000001,22835.100000000035,18570.199999999953,11932,21092.70000000001,10886.699999999999,48640.6,13724.199999999997,18487.100000000006,17723.7,39629.9,10371.700000000012,10090,12313.700000000012,37870.100000000035,40608.5,22536.79999999999,25523.600000000035,28228.500000000004,10106.699999999997,12811.399999999994,11201.5,21656.899999999998,78130.9,20959.800000000017,11865.599999999977,87838.20000000001,83158.60000000003,19050.79999999999,14570.099999999977,30153.599999999977,21905.5,15798.800000000001,14305.2,24445.5,18720,13143.399999999994,12297.099999999977,124215.80000000002,17292.70000000001,14122.9,31962.500000000007,23465.699999999997,22436.70000000001,29589.600000000006,10886",26667.450000000004,20486.95000000001,1866721.5000000002,"0.03859890647789002,0.06732230331670609,0.03232846761602713,0.1104453579330612,0.07231073784175805,0.1391418088985243,0.15774267641790843,0.08418628243077877,0.03629663267512264,0.11102647221686555,0.025904656951278124,0.008361835542787065,0.02129415581788673,0.07782982438555186,0.08844946775975877,0.03595891759945447,0.05188399124234005,0.03634919861310323,0.1364532904322027,0.04091890688710999,0.08192093594499279,0.03667984966355036,0.07134589542771123,0.3713957112935377,0.17659722232618585,0.18556884383643524,0.1283158124046058,0.08276442693645082,0.14460977738255257,0.09136910266910163,0.08440094827499885,0.029186032184564042,0.09946937844294254,0.028932457927501633,0.022832590877257537,0.053818892680536426,0.0351163283691893,0.07089224330129566,0.1732515211105632,0.05526705342267456,0.2631590922455462,0.029141442630143146,0.04908391739006386,0.08003877758326927,0.06539192967323086,0.10053801664866517,0.06309600188877558,0.10245821663088643,0.024075294127555356,0.09054548289244194,0.1210273158396614,0.09673518299480739,0.09950814780773826,0.04371223956013267,0.11559961729442665,0.07709022490910801,0.18744802658995022,0.20166199933471357,0.05437096660817278,0.015746548094081533,0.004931596965764135,0.2999800927722422,0.13142372765935678,0.056598004298965374,0.20077548618538674,0.19082013470629955,0.09005915297593635,0.10533782042345995,0.04119828915626446,0.10446234763627685",0.09289362870080124,0.08097985676413103,,509271,58396,0.11466586552150033,5175,0.08861908349886978,3,24,23,37.28571429,5,39.68253968,0,47.61904762,12.6984127,4314,1,2166963.5
http://localhost:3000/studies/PXe8xDfEhpeH4sPLW/participants/7yjAs4iPCpxcfgXRp,Pipe Spool Assembly,fixations,sdafsgdfhg,5000,5000,10000,Participant 16,"4,1,4,6,5,1,3,4,1",3.2222222222222223,4,29,"17657.300000000003,12529.299999999988,32062.29999999999,34518,16562,67327.4,35066,10355.100000000006,50897.899999999965,139368.1,40724.69999999998,13242.799999999988,23349.599999999977,25407.5,11484.299999999988,17441.5,16164.099999999999,10056.699999999997,10455,11484,31066.7,69319,24808.90000000001,13525.800000000017,44956.4,19051.5,18105.899999999994,12082,13624.8",29058.434482758625,18105.899999999994,842694.6000000001,"0.1364561183522992,0.0325146305266432,0.1192437935958937,0.12651743205099092,0.03579288770813888,0.019411814293805243,0.036667407191130895,0.007629120244938694,0.04611593264597031,0.05580724723096896,0.04153296925244188,0.056918615174952315,0.1225124793650028,0.02166981213834964,0.04023270902385869,0.05357398298535614,0.03343156976895577,0.0748390366389802,0.04636077377434232,0.12677216190320445,0.037562501926347976,0.03370770722304329,0.009122730705526244,0.08432545716651439,0.04189204778949727,0.04960073055167139,0.0067909408694792174,0.1794243424841239,0.036099025275645444",0.059052619926140464,0.04189204778949727,,254968,34153,0.1339501427630134,2296,0.06722689075630252,0,38,26,26,0,58.10810811,1,36.48648649,5.405405405,2217,18,1032916.6
http://localhost:3000/studies/PXe8xDfEhpeH4sPLW/participants/BXicL7agGCmkAwHDw,Pipe Spool Assembly,fixations,sdafsgdfhg,5000,5000,10000,Participant 17,"3,4,5,3,2,3,3,2,6,4",3.5,3,35,"33589.2,18785.699999999997,30519,10206,29256.9,54664.4,23116.70000000001,28278.800000000003,10686.799999999996,45371.200000000004,15450.100000000006,21689.399999999994,13076.8,52956.100000000006,57834.8,48259.59999999999,64704.40000000001,86279.7,19316.800000000003,73650.9,21457.9,47744.9,11700.200000000012,57900.8,64921.90000000001,43778.700000000004,42053.7,19566,19549,16977,19798.899999999965,18204.8,25772.799999999996,18387.300000000003,46002.600000000006",34614.56571428571,28278.800000000003,1211509.7999999998,"0.07801454599157892,0.054739321540040964,0.10908061223708741,0.014341876239998521,0.13048372575943767,0.06638571409631949,0.0833452982637209,0.010583813005651616,0.021689127475981666,0.061810243505814974,0.0894399421179006,0.06948667460454408,0.05016709452408962,0.030676746124292564,0.05616388975773174,0.057935663084748734,0.05445051093602061,0.0482074630297466,0.14200306042707855,0.08602147753013792,0.026337343214976203,0.08619546053856705,0.17040653357097146,0.060555118911030104,0.10732127472960366,0.0159187535457495,0.07031853851536025,0.04493560285027017,0.04100952039137944,0.07231505336709333,0.09610905329613292,0.1501634961688723,0.18716863416140578,0.11147663672498091,0.0530562085860189",0.07452325796640959,0.06638571409631949,,230632,34351,0.14894290471400326,2552,0.07429186923233676,0,36,35,69.28571429,12,53.84615385,1,44.61538462,1.538461538,1942,15,1327296.7
http://localhost:3000/studies/PXe8xDfEhpeH4sPLW/participants/BgLquKttaX4LEKpaq,Pipe Spool Assembly,fixations,sdafsgdfhg,5000,5000,10000,Participant 02,"1,1,1,1,1,1,2,1,1,1",1.1,1,11,"117975.5,30485.8,309806.39999999997,341016.3,102459.6,124996.3,18768.6,21224.7,162735.7,128800.5,58485.299999999996",128795.88181818182,117975.5,1416754.7,"0.0957423326558826,0.0802623431792398,0.06752225689506801,0.08519236949111904,0.0637031802769917,0.09186695345305335,0.07770936093072842,0.12220125144133274,0.07182322620497654,0.06036554900388923,0.08622254731582914",0.08205557916801004,0.0802623431792398,,329910,66478,0.20150344033221182,3935,0.05919251481693192,2,25,33,61.57142857,10,34.69387755,1,62.24489796,3.06122449,2917,5,1421351.4
http://localhost:3000/studies/PXe8xDfEhpeH4sPLW/participants/BxgbY87R7SENrYxQE,Pipe Spool Assembly,fixations,sdafsgdfhg,5000,5000,10000,Participant 06,"2,1,2,5,4,4,1,8,4,1",3.2,3,32,"12180.5,21690.90000000001,23599,33871.3,49238.30000000002,36608.799999999996,54897.8,21689.899999999994,20444.79999999999,66181.9,14770,15832.000000000004,10720.600000000006,16429.5,10737.100000000002,19084.5,13641.600000000006,13807.799999999988,53470.2,48591.799999999996,21889.1,18055.90000000001,83955.8,18586.899999999994,11135.699999999953,38783.5,28610,28211.9,50266.8,20794.20000000001,15100.700000000012,22885",28617.61875000001,21690.4,915763.8000000003,"0.028811581139199835,0.2254272926998602,0.04928259524438815,0.04235916933176177,0.05474549302474536,0.07621538433819763,0.026913824767605326,0.03233504306900242,0.035434937825397535,0.07812112968693329,0.1163481441388543,0.07047305690141972,0.01783095912366604,0.037302397344901456,0.12440590241066618,0.02976366027973764,0.022424617412586983,0.03275736210413257,0.1275450494778928,0.09899002119304944,0.029610231920888262,0.03809307895905638,0.04752631674896473,0.025518112438017222,0.004758460324587571,0.032058723044115466,0.05735354937608506,0.08229970043191477,0.04842509068172494,0.06292265835353192,0.2189886881418358,0.027725957372464444",0.06258650591584954,0.04494274304036325,,242295,31123,0.128450855362265,2623,0.08427850785592648,0,60,28,33.71428571,2,40.29850746,0,49.25373134,10.44776119,2012,39,1083529
http://localhost:3000/studies/PXe8xDfEhpeH4sPLW/participants/EogxwvpDibYuYTAPz,Pipe Spool Assembly,fixations,sdafsgdfhg,5000,5000,10000,Participant 10,"7,1,5,2,2,3,3,6,3,4",3.6,3,36,"14935.3,20262.7,12230.900000000009,17043.70000000001,11551.199999999983,37206.90000000002,29538.70000000001,49322.1,63758.5,123718.79999999999,37655.399999999994,73651.70000000001,16461.699999999953,41189.5,104914.2,44808.5,17790.799999999996,58001.1,54249.90000000001,61170.499999999985,37555.1,16529.199999999997,37854.59999999999,70214.59999999999,31447.5,58150.899999999994,19914.20000000001,114358.30000000002,46567.19999999995,47429.8,69732.99999999999,16727.600000000006,40874.7,54566.1,11351.099999999991,16959.899999999994",43880.44166666665,39364.649999999994,1579695.8999999994,"0.22431630824040716,0.15905634129523213,0.0119289846124982,0.03356992343669872,0.024231216840716708,0.14796011758201424,0.11885349143341424,0.0822985717559871,0.11502603793392734,0.028435542357649484,0.17930411355097023,0.1339806393923751,0.20026343950256226,0.1370429550723642,0.06793241322581593,0.059815935263740704,0.1142145131692265,0.045564068742691935,0.0461426775225703,0.13710546216698433,0.11868266378232203,0.11506910055360586,0.024189596145364946,0.05467140675065206,0.012331324394967013,0.05273814857391476,0.046840991041614384,0.12572519972854088,0.07176005580948162,0.0946162168005731,0.0751796023639632,0.06732852150493279,0.15740975388225778,0.09897314719779679,0.1558719889389479,0.053728730164954316",0.09422664446477046,0.08845739427828009,,318502,53401,0.1676629974066097,3785,0.07087882249396078,4,28,27,47,7,29.59183673,1,53.06122449,17.34693878,2921,4,1630810.2
http://localhost:3000/studies/PXe8xDfEhpeH4sPLW/participants/Hkv9qdadAGk2XhmiK,Pipe Spool Assembly,fixations,sdafsgdfhg,5000,5000,10000,Participant 08,"2,6,5,5,4,1,3,4,2",3.5555555555555554,4,32,"29970.399999999994,17873,13326.1,12048.800000000003,20611.799999999996,20859.79999999999,64954.09999999998,14138.799999999988,33572.799999999996,20777.699999999997,44691.100000000006,13591.300000000017,27099.79999999999,19499.299999999996,19814.600000000006,15632.700000000012,10820.299999999988,15600.299999999988,13658.099999999999,15583,13741,11218,15400.5,10637.3,11317.899999999994,10637.900000000023,10919.9,14404.5,12629.099999999999,17823.40000000001,16976.8,21839.199999999997",19114.665625,15591.649999999994,611669.3,"0.08612295659725547,0.05287730627201471,0.024251735732936593,0.004782796071517638,0.01386587545551156,0.03354360024297987,0.05727828911699914,0.06788386711721717,0.09380551734155396,0.02181355213937566,0.1386513269460678,0.04094490091018829,0.08928443217379789,0.022325493061003593,0.13633027236734074,0.014805335467175957,0.017958234975813843,0.1278478518033195,0.025010283831379626,0.03557395044523939,0.025259147881181974,0.161840052974619,0.0852312502127576,0.031478454712019766,0.03475725111219534,0.1634591193038307,0.0354687714573213,0.02243535869580011,0.030694899499417103,0.059548700507753224,0.040438437733727954,0.031684971811814705",0.057101687311597725,0.03552136095128035,,248700,36568,0.14703659026940089,2269,0.06204878582367097,0,23,35,72.14285714,13,58.73015873,1,33.33333333,7.936507937,1892,7,873342.2
http://localhost:3000/studies/PXe8xDfEhpeH4sPLW/participants/Pc8Ssy9LjvQF4fpeT,Pipe Spool Assembly,fixations,sdafsgdfhg,5000,5000,10000,Participant 14,"4,1,4,8,2,5,4,11,4,5",4.8,4,48,"24461.899999999998,21590.3,10421.900000000023,14056.300000000017,59494.299999999996,29157.999999999985,41621,21125.600000000035,14006.5,32775.799999999996,21740.5,12114.700000000012,16346.399999999994,33655.20000000001,26984.100000000035,39546.899999999965,34087,60539.5,14919.5,17309,14039.699999999997,34651.09999999999,15865.600000000006,25489.600000000006,40990.399999999994,13840.699999999997,10969.5,11616.900000000023,56888.3,35082.5,19682.600000000006,27166.899999999994,11085.700000000012,16097.399999999965,15682.400000000023,11616.399999999965,23748.400000000023,15582.799999999988,25705.70000000001,41189.600000000006,50566.100000000006,24992.70000000001,17359.199999999953,23947.1,15715.899999999994,19715.399999999994,36194.5,19151",25428.92708333334,21665.4,1220588.5000000002,"0.03666970622540568,0.04149728859386673,0.025134990324286115,0.11730429577181813,0.055707883135970325,0.0612571305279964,0.017323392325056843,0.06125102281316513,0.05552416135440839,0.15323449679135093,0.022256380492641763,0.03695923169416221,0.04198255923182462,0.03869575750784641,0.016651006443207435,0.025168254020244845,0.08214557147609251,0.0742507939504422,0.008473738039041157,0.13154119520496158,0.019758020638059114,0.028222915818614747,0.016702658724340676,0.0300023278984001,0.07767103801085605,0.011271091299463243,0.049819072232654395,0.10986307908744332,0.12342193634336118,0.07424920693198854,0.012837777199002323,0.018475564403356445,0.00983807515551596,0.024333829709022578,0.01676724032082813,0.0072170522895258485,0.010836268348058658,0.04897852369850029,0.024072423766037448,0.058152160241793954,0.025763713829590005,0.044847805972971944,0.10410939103902105,0.07712228690808766,0.025747219672418383,0.14125990561457738,0.04932280846732762,0.018163916684511384",0.04920533679643995,0.037827494601004305,,413546,59882,0.14480130384527962,3835,0.06404261714705588,2,20,15,9.285714286,-2,39.82300885,0,46.01769912,14.15929204,3371,2,1551001.3
http://localhost:3000/studies/PXe8xDfEhpeH4sPLW/participants/RaBYrqzsoQKCAprTt,Pipe Spool Assembly,fixations,sdafsgdfhg,5000,5000,10000,Participant 09,"1,2,2,5,3,6,1,9,5,3",3.7,3,37,"10720.699999999997,24761.199999999997,23665.5,11284.099999999999,37821,30253.4,14836.800000000003,31316.20000000001,25939.099999999977,13973.700000000012,17723.899999999998,23483.199999999997,28293.5,11184.900000000001,11832.400000000001,25456.70000000001,11849.5,25175.899999999994,19948.29999999999,31763.199999999997,10887.1,10737.099999999999,25158.5,19433.100000000006,44044,18139.5,16778.300000000047,14803.299999999988,22071.79999999999,10189,29058.499999999993,11035.5,47462,37655.100000000006,18038.1,25822.3,22585.899999999994",22031.954054054055,22071.79999999999,815182.3,"0.02119329368986832,0.06683294596124753,0.09428252225482883,0.07253189964584839,0.10833955051711205,0.0965893732586191,0.020749196702017664,0.10641763646427442,0.09070756819380868,0.04609978789451299,0.029568827890627907,0.039685958485986016,0.127290555834819,0.02726383484544304,0.039656335037660126,0.04356508327873996,0.3069328613520622,0.06602198643484367,0.14257683758717785,0.09202492691261702,0.2905529770724438,0.014953565596689297,0.01640054750289346,0.04444450331203068,0.1367794529766749,0.07433147162087521,0.1627406966025445,0.06479477419597,0.04103000116101998,0.11573601107060462,0.06864243868019279,0.16467358657155381,0.12180661689145487,0.0808772496989149,0.12022625342945983,0.03491896876499368,0.10073920519424685",0.08897241358336967,0.07433147162087521,,276059,29941,0.10845869904621838,2699,0.09014394976787682,0,30,32,66.28571429,12,53.84615385,1,35.8974359,10.25641026,2337,11,1002030.3
