link,study,analysis,period,viewingGap,minViewingTime,participant,stimulus,viewingNumber,stimulusWidth,stimulusHeight,stimulusArea,viewingStartTime,viewingEndTime,viewingDuration,gazePointCount,gazePointFrequency,fixationCount,fixationFrequency,fixationProportion,slideHullCount,firstHullStartTime,lastHullEndTime,slideHullAreas,slideHullCoverages,slideHullDurations,slideHullDurationTotal,slideHullAreaDurations,slideHullAreaDurationTotal,slideHullCoverageDurations,slideHullCoverageDurationTotal,averageSlideHullArea,averageSlideHullCoverage
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/cJXoquonDPaaMPPQu,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 1,1,1222,855,1044810,198.4,38682,38483.6,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/pKtPwJQDrT2XknWe9,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 1,2,1222,855,1044810,277273.5,311742.3,34468.79999999999,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/h5SA5jxHydpxJFkEw,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 1,3,1222,855,1044810,386437.6,429817.9,43380.30000000005,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/6GjyxMfGKt8unrN2r,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 10,1,1220,852,1039440,0,41021.5,41021.5,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/MbWoB9mDumWwSpXX6,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 2,1,1220,852,1039440,17.6,71577.6,71560,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/siyQbmZ8TbFMLNovg,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 2,2,1220,852,1039440,94744.6,221101.9,126357.29999999999,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/thYCEFDbKZdYMQWBj,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 2,3,1220,852,1039440,926967.5,940526,13558.5,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/YebQ9ojveFhqh8eYq,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 3,1,1218,840,1023120,531,55411.9,54880.9,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/7CZuiE9nBHGrex55g,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 3,2,1218,840,1023120,66099.3,102824.6,36725.3,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/6zx5SG59pnyhpPaLR,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 3,3,1218,840,1023120,140247.2,178234.2,37987,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/Kt9ybfYrHnDcv97hb,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 3,4,1218,840,1023120,197418.2,246275.1,48856.899999999994,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/wsgPZHYgcdJ865C5q,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 3,5,1218,840,1023120,256896.4,274155.2,17258.800000000017,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/NsWRnnEBJdGmJWTxb,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 3,6,1218,840,1023120,295397.3,315428,20030.70000000001,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/s5poxcpxHFZww67zL,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 4,1,1219,843,1027617,0,153492.4,153492.4,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/GChWDKaLgTcAGgcEo,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 5,1,1221,796,971916,16.8,49670.9,49654.1,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/cx8SwSGyevMiGZ6xG,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 6,1,1221,854,1042734,33,93264.8,93231.8,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/MhTircZW64Sodwy3B,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 7,1,1221,848,1035408,16.4,96170.1,96153.70000000001,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/Az5rZzXb9sLie9n9Q,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 8,1,1217,844,1027148,0,48590.7,48590.7,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/BrkQfxPShxzLrJF3a,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 01,Spool 9,1,1222,835,1020370,16.5,45819.3,45802.8,,,,,0,,,,,,,,,,,,,
http://localhost:3000/studies/dud653vbv3PREd2Sy/viewings/23oaRvkwxLnEGBLPA,Pipe Spool Assembly Task - GP,5 Second Period,5000,5000,10000,Participant 02,Spool 1,1,1222,855,1044810,215.9,118191.4,117975.5,,,,,0,,,,,,,,,,,,,
