RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:26:997,CustomTrial01-00,saw,0.0000,97946.1470,aaron,DarkSlateGray,67.6562,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:26:997,CustomTrial01-00,saw,0.0000,97946.1470,aaron,DarkSlateGray,67.6562,Eye,Visual Intake,1,104.0000,74.0000,4.4000,114.0000,72.0000,6.5200,626.2100,-49.9800,626.2100,-49.9800,626.2100,-49.9800,-,-0.0451,-0.0510,0.9977,-0.2642,0.3476,0.8997,-,-30.2430,3.1360,-23.6550,31.0890,3.8450,-21.5120,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
17.1020,21:07:27:014,CustomTrial01-00,saw,0.0000,97946.1470,aaron,DarkSlateGray,67.6562,Eye,Visual Intake,1,102.0000,70.0000,4.3600,114.0000,72.0000,6.5400,626.2100,-49.9800,626.2100,-49.9800,626.2100,-49.9800,-,-0.0503,-0.0476,0.9976,-0.2723,0.3569,0.8936,-,-30.2420,3.1270,-23.6520,31.0890,3.8450,-21.5120,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.4730,21:07:27:030,CustomTrial01-00,saw,0.0000,97946.1470,aaron,DarkSlateGray,67.6562,Eye,Visual Intake,1,102.0000,70.0000,4.3200,114.0000,72.0000,6.6800,626.2100,-49.9800,626.2100,-49.9800,626.2100,-49.9800,-,-0.0489,-0.0465,0.9977,-0.2783,0.3622,0.8896,-,-30.2410,3.1230,-23.6510,31.0890,3.8450,-21.5120,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
50.4660,21:07:27:047,CustomTrial01-00,saw,0.0000,97946.1470,aaron,DarkSlateGray,67.6562,Eye,Visual Intake,1,102.0000,72.0000,4.3800,114.0000,70.0000,6.5400,626.2100,-49.9800,626.2100,-49.9800,626.2100,-49.9800,-,-0.0513,-0.0399,0.9979,-0.2675,0.3504,0.8976,-,-30.2390,3.1170,-23.6500,31.0890,3.8450,-21.5120,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.4830,21:07:27:063,CustomTrial01-00,saw,0.0000,97946.1470,aaron,DarkSlateGray,67.6562,Eye,Visual Intake,1,102.0000,72.0000,4.3800,112.0000,70.0000,6.5200,626.2100,-49.9800,626.2100,-49.9800,626.2100,-49.9800,-,-0.0535,-0.0412,0.9977,-0.2646,0.3454,0.9004,-,-30.2360,3.1130,-23.6470,31.0890,3.8450,-21.5120,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.6330,21:07:27:081,CustomTrial01-00,saw,0.0000,97946.1470,aaron,DarkSlateGray,67.6562,Eye,Visual Intake,1,102.0000,70.0000,4.3800,112.0000,70.0000,6.5400,626.2100,-49.9800,626.2100,-49.9800,626.2100,-49.9800,-,-0.0547,-0.0407,0.9977,-0.2656,0.3466,0.8996,-,-30.2350,3.1090,-23.6460,31.0890,3.8450,-21.5120,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
100.3490,21:07:27:097,CustomTrial01-00,saw,0.0000,97946.1470,aaron,DarkSlateGray,67.6562,Eye,Visual Intake,1,102.0000,70.0000,4.3800,114.0000,70.0000,6.5400,626.2100,-49.9800,626.2100,-49.9800,626.2100,-49.9800,-,-0.0541,-0.0394,0.9978,-0.2681,0.3629,0.8924,-,-30.2350,3.1040,-23.6460,31.0890,3.8450,-21.5120,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.4520,21:07:27:113,CustomTrial01-00,saw,0.0000,97946.1470,aaron,DarkSlateGray,67.6562,Eye,Saccade,1,102.0000,70.0000,4.3800,112.0000,70.0000,6.5800,626.2100,-49.9800,626.2100,-49.9800,626.2100,-49.9800,-,-0.0547,-0.0390,0.9977,-0.2739,0.3693,0.8880,-,-30.2360,3.1000,-23.6450,31.0890,3.8450,-21.5120,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
133.5320,21:07:27:131,CustomTrial01-00,saw,0.0000,97946.1470,aaron,DarkSlateGray,67.6562,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
