RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:42:433,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:42:433,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.6450,21:07:42:450,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Eye,Visual Intake,3,102.0000,90.0000,4.8200,106.0000,78.0000,4.8800,260.3600,360.0000,260.3600,360.0000,260.3600,360.0000,Image A,-0.1660,-0.1646,0.9723,-0.1953,-0.1140,0.9741,-,-30.7830,4.2870,-25.5540,30.1690,6.3910,-24.3650,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.1240,21:07:42:466,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Eye,Visual Intake,3,102.0000,90.0000,4.7400,104.0000,78.0000,4.8600,260.3600,360.0000,260.3600,360.0000,260.3600,360.0000,Image A,-0.1492,-0.1657,0.9748,-0.1780,-0.1172,0.9770,-,-30.7820,4.2850,-25.5520,30.1690,6.3910,-24.3650,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.9450,21:07:42:483,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Eye,Visual Intake,3,102.0000,82.0000,4.7800,106.0000,80.0000,5.0000,260.3600,360.0000,260.3600,360.0000,260.3600,360.0000,Image A,-0.1331,-0.1665,0.9770,-0.1609,-0.1247,0.9791,-,-30.7800,4.2840,-25.5510,30.1690,6.3910,-24.3650,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.3680,21:07:42:499,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Eye,Visual Intake,3,104.0000,90.0000,4.7800,108.0000,78.0000,4.9400,260.3600,360.0000,260.3600,360.0000,260.3600,360.0000,Image A,-0.1228,-0.1687,0.9780,-0.1503,-0.1246,0.9808,-,-30.7780,4.2830,-25.5500,30.1690,6.3910,-24.3650,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.2730,21:07:42:516,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Eye,Visual Intake,3,104.0000,90.0000,4.8000,106.0000,78.0000,4.9400,260.3600,360.0000,260.3600,360.0000,260.3600,360.0000,Image A,-0.1107,-0.1729,0.9787,-0.1376,-0.1267,0.9824,-,-30.7770,4.2840,-25.5500,30.1780,6.3470,-24.3440,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.6630,21:07:42:533,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Eye,Visual Intake,3,104.0000,88.0000,4.8000,106.0000,78.0000,4.8800,260.3600,360.0000,260.3600,360.0000,260.3600,360.0000,Image A,-0.0984,-0.1762,0.9794,-0.1257,-0.1270,0.9839,-,-30.7770,4.2860,-25.5500,30.1780,6.3470,-24.3440,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.1290,21:07:42:549,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Eye,Visual Intake,3,104.0000,88.0000,4.8200,106.0000,78.0000,4.8800,260.3600,360.0000,260.3600,360.0000,260.3600,360.0000,Image A,-0.0882,-0.1823,0.9793,-0.1112,-0.1340,0.9847,-,-30.7760,4.2890,-25.5520,30.1780,6.3470,-24.3440,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
133.7430,21:07:42:567,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Eye,Visual Intake,3,104.0000,84.0000,4.8400,106.0000,76.0000,4.8200,260.3600,360.0000,260.3600,360.0000,260.3600,360.0000,Image A,-0.0757,-0.1842,0.9800,-0.1010,-0.1334,0.9859,-,-30.7770,4.2940,-25.5530,30.1780,6.3470,-24.3440,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
149.3380,21:07:42:582,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Eye,Visual Intake,3,104.0000,88.0000,4.9000,106.0000,78.0000,4.8200,260.3600,360.0000,260.3600,360.0000,260.3600,360.0000,Image A,-0.0707,-0.1895,0.9793,-0.0933,-0.1358,0.9863,-,-30.7760,4.2990,-25.5560,30.1840,6.3180,-24.3300,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
166.0640,21:07:42:599,CustomTrial01-00,saw,0.0000,61319.9650,david c (1),Green,70.4501,Eye,Visual Intake,3,106.0000,90.0000,4.9000,106.0000,78.0000,4.8000,260.3600,360.0000,260.3600,360.0000,260.3600,360.0000,Image A,-0.0623,-0.1963,0.9786,-0.0847,-0.1340,0.9874,-,-30.7760,4.3020,-25.5570,30.1840,6.3180,-24.3300,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
