RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:23:117,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:23:117,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.0500,21:07:23:133,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,1,104.0000,74.0000,4.4800,94.0000,58.0000,3.7200,165.0600,250.7500,165.0600,250.7500,165.0600,250.7500,Image A,0.0394,-0.2251,0.9735,0.0677,0.0695,0.9953,-,-30.9400,2.1690,-25.0280,31.5330,4.4090,-24.2280,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
32.7570,21:07:23:150,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,1,104.0000,74.0000,4.4800,94.0000,58.0000,3.6800,165.0600,250.7500,165.0600,250.7500,165.0600,250.7500,Image A,0.0399,-0.2254,0.9735,0.0667,0.0663,0.9956,-,-30.9400,2.1690,-25.0280,31.5330,4.4090,-24.2280,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.8840,21:07:23:167,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,1,102.0000,76.0000,4.4200,94.0000,58.0000,3.7000,165.0600,250.7500,165.0600,250.7500,165.0600,250.7500,Image A,0.0393,-0.2224,0.9742,0.0664,0.0644,0.9957,-,-30.9400,2.1690,-25.0280,31.5330,4.4090,-24.2280,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
65.9660,21:07:23:183,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,1,102.0000,76.0000,4.4400,94.0000,58.0000,3.6400,165.0600,250.7500,165.0600,250.7500,165.0600,250.7500,Image A,0.0388,-0.2182,0.9751,0.0527,0.0689,0.9962,-,-30.9400,2.1690,-25.0280,31.5600,4.4420,-24.2100,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
82.5800,21:07:23:200,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,1,102.0000,76.0000,4.4200,94.0000,58.0000,3.6000,165.0600,250.7500,165.0600,250.7500,165.0600,250.7500,Image A,0.0392,-0.2185,0.9751,0.0540,0.0674,0.9963,-,-30.9400,2.1690,-25.0280,31.5900,4.4730,-24.1940,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.0180,21:07:23:216,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,1,100.0000,78.0000,4.4400,92.0000,58.0000,3.6000,165.0600,250.7500,165.0600,250.7500,165.0600,250.7500,Image A,0.0394,-0.2179,0.9752,0.0532,0.0612,0.9967,-,-30.9400,2.1690,-25.0280,31.5990,4.4730,-24.1620,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
115.6570,21:07:23:233,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,1,100.0000,76.0000,4.3400,92.0000,58.0000,3.5800,165.0600,250.7500,165.0600,250.7500,165.0600,250.7500,Image A,0.0395,-0.2201,0.9747,0.0500,0.0615,0.9969,-,-30.9400,2.1690,-25.0280,31.6040,4.4700,-24.1320,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.5480,21:07:23:250,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Saccade,1,100.0000,74.0000,4.3200,92.0000,58.0000,3.5000,165.0600,250.7500,165.0600,250.7500,165.0600,250.7500,Image A,0.0397,-0.2188,0.9750,0.0474,0.0579,0.9972,-,-30.9400,2.1690,-25.0280,31.6100,4.4690,-24.1050,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
149.0310,21:07:23:266,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
165.6980,21:07:23:283,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
181.9740,21:07:23:299,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,2,96.0000,70.0000,4.1800,88.0000,52.0000,3.4200,210.9300,250.1600,210.9300,250.1600,210.9300,250.1600,Image A,0.0245,-0.2004,0.9794,0.0265,0.0621,0.9977,-,-30.9400,2.1690,-25.0280,31.6500,4.4650,-24.0660,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
198.9150,21:07:23:316,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,2,96.0000,72.0000,4.1200,90.0000,56.0000,3.6600,210.9300,250.1600,210.9300,250.1600,210.9300,250.1600,Image A,0.0211,-0.1966,0.9803,0.0225,0.0505,0.9985,-,-30.9400,2.1690,-25.0280,31.6610,4.4640,-24.0540,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
215.8170,21:07:23:333,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,2,96.0000,72.0000,4.1600,90.0000,54.0000,3.6000,210.9300,250.1600,210.9300,250.1600,210.9300,250.1600,Image A,0.0232,-0.2003,0.9795,0.0307,0.0501,0.9983,-,-30.9400,2.1690,-25.0280,31.6700,4.4590,-24.0420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
231.6110,21:07:23:349,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,2,94.0000,72.0000,4.0600,90.0000,54.0000,3.6000,210.9300,250.1600,210.9300,250.1600,210.9300,250.1600,Image A,0.0199,-0.1928,0.9810,0.0301,0.0509,0.9983,-,-30.9400,2.1690,-25.0280,31.6800,4.4590,-24.0310,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
248.9750,21:07:23:366,CustomTrial01-00,saw,0.0000,88668.6480,gabe,DarkSalmon,41.3149,Eye,Visual Intake,2,94.0000,70.0000,4.0400,88.0000,52.0000,3.4600,210.9300,250.1600,210.9300,250.1600,210.9300,250.1600,Image A,0.0193,-0.1916,0.9813,0.0288,0.0520,0.9982,-,-30.9400,2.1690,-25.0280,31.6890,4.4590,-24.0220,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
