RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,16:22:09:937,CustomTrial01-00,saw,0.0000,79325.7270,jessica,MediumBlue,82.0247,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,16:22:09:937,CustomTrial01-00,saw,0.0000,79325.7270,jessica,MediumBlue,82.0247,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.4930,16:22:09:953,CustomTrial01-00,saw,0.0000,79325.7270,jessica,MediumBlue,82.0247,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.0610,16:22:09:970,CustomTrial01-00,saw,0.0000,79325.7270,jessica,MediumBlue,82.0247,Eye,Visual Intake,3,88.0000,78.0000,3.6000,90.0000,72.0000,3.9000,754.4600,500.3300,754.4600,500.3300,754.4600,500.3300,-,-0.2143,-0.2189,0.9519,-0.1918,-0.1398,0.9714,-,-29.4850,1.1180,-22.9030,30.8030,3.6280,-23.5860,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.7930,16:22:09:987,CustomTrial01-00,saw,0.0000,79325.7270,jessica,MediumBlue,82.0247,Eye,Visual Intake,3,88.0000,78.0000,3.6000,90.0000,72.0000,3.8800,754.4600,500.3300,754.4600,500.3300,754.4600,500.3300,-,-0.2160,-0.2186,0.9516,-0.1895,-0.1436,0.9713,-,-29.4780,1.1140,-22.8950,30.7880,3.7410,-23.6120,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.5380,16:22:10:004,CustomTrial01-00,saw,0.0000,79325.7270,jessica,MediumBlue,82.0247,Eye,Visual Intake,3,86.0000,78.0000,3.6200,90.0000,72.0000,3.9000,754.4600,500.3300,754.4600,500.3300,754.4600,500.3300,-,-0.2187,-0.2174,0.9513,-0.1898,-0.1469,0.9708,-,-29.4750,1.1070,-22.8860,30.7770,3.8390,-23.6320,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.0990,16:22:10:020,CustomTrial01-00,saw,0.0000,79325.7270,jessica,MediumBlue,82.0247,Eye,Visual Intake,3,86.0000,78.0000,3.6200,90.0000,72.0000,3.9000,754.4600,500.3300,754.4600,500.3300,754.4600,500.3300,-,-0.2204,-0.2153,0.9514,-0.1906,-0.1432,0.9712,-,-29.4700,1.1000,-22.8750,30.7770,3.8390,-23.6320,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
100.0210,16:22:10:037,CustomTrial01-00,saw,0.0000,79325.7270,jessica,MediumBlue,82.0247,Eye,Visual Intake,3,86.0000,78.0000,3.6200,90.0000,72.0000,3.9200,754.4600,500.3300,754.4600,500.3300,754.4600,500.3300,-,-0.2214,-0.2155,0.9511,-0.1925,-0.1407,0.9712,-,-29.4660,1.0960,-22.8680,30.7770,3.8390,-23.6320,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.0120,16:22:10:053,CustomTrial01-00,saw,0.0000,79325.7270,jessica,MediumBlue,82.0247,Eye,Visual Intake,3,86.0000,78.0000,3.6200,90.0000,72.0000,3.9400,754.4600,500.3300,754.4600,500.3300,754.4600,500.3300,-,-0.2224,-0.2158,0.9508,-0.1902,-0.1399,0.9717,-,-29.4610,1.0930,-22.8610,30.7770,3.8390,-23.6320,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.9630,16:22:10:070,CustomTrial01-00,saw,0.0000,79325.7270,jessica,MediumBlue,82.0247,Eye,Saccade,1,86.0000,76.0000,3.6200,90.0000,72.0000,3.9600,754.4600,500.3300,754.4600,500.3300,754.4600,500.3300,-,-0.2226,-0.2150,0.9509,-0.1916,-0.1375,0.9718,-,-29.4570,1.0900,-22.8550,30.7770,3.8390,-23.6320,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
