RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:35:074,CustomTrial01-00,saw,0.0000,63427.3940,joe (1),Firebrick,72.4976,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:35:074,CustomTrial01-00,saw,0.0000,63427.3940,joe (1),Firebrick,72.4976,Eye,Visual Intake,1,110.0000,104.0000,5.2000,106.0000,92.0000,4.8600,394.7300,537.5100,394.7300,537.5100,394.7300,537.5100,-,-0.0799,-0.3734,0.9242,-0.1351,-0.3208,0.9375,-,-33.0570,5.0230,-25.7860,30.4090,7.3120,-24.2760,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.4900,21:07:35:090,CustomTrial01-00,saw,0.0000,63427.3940,joe (1),Firebrick,72.4976,Eye,Visual Intake,1,110.0000,106.0000,5.2000,104.0000,90.0000,4.8600,394.7300,537.5100,394.7300,537.5100,394.7300,537.5100,-,-0.0771,-0.3695,0.9260,-0.1339,-0.3212,0.9375,-,-33.0590,5.0350,-25.7960,30.4170,7.3820,-24.2800,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.5090,21:07:35:108,CustomTrial01-00,saw,0.0000,63427.3940,joe (1),Firebrick,72.4976,Eye,Visual Intake,1,110.0000,104.0000,5.2200,106.0000,90.0000,4.9000,394.7300,537.5100,394.7300,537.5100,394.7300,537.5100,-,-0.0741,-0.3687,0.9266,-0.1322,-0.3173,0.9391,-,-33.0570,5.0470,-25.8050,30.4310,7.3800,-24.2420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.5750,21:07:35:124,CustomTrial01-00,saw,0.0000,63427.3940,joe (1),Firebrick,72.4976,Eye,Visual Intake,1,112.0000,104.0000,5.2200,106.0000,92.0000,4.9000,394.7300,537.5100,394.7300,537.5100,394.7300,537.5100,-,-0.0731,-0.3668,0.9274,-0.1304,-0.3139,0.9405,-,-33.0570,5.0590,-25.8120,30.4420,7.3850,-24.2130,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.0940,21:07:35:140,CustomTrial01-00,saw,0.0000,63427.3940,joe (1),Firebrick,72.4976,Eye,Visual Intake,1,112.0000,104.0000,5.2200,106.0000,92.0000,4.9000,394.7300,537.5100,394.7300,537.5100,394.7300,537.5100,-,-0.0730,-0.3669,0.9274,-0.1270,-0.3170,0.9399,-,-33.0560,5.0690,-25.8190,30.4490,7.3830,-24.1910,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.3920,21:07:35:157,CustomTrial01-00,saw,0.0000,63427.3940,joe (1),Firebrick,72.4976,Eye,Visual Intake,1,112.0000,104.0000,5.2200,106.0000,92.0000,4.8800,394.7300,537.5100,394.7300,537.5100,394.7300,537.5100,-,-0.0730,-0.3652,0.9281,-0.1265,-0.3189,0.9393,-,-33.0560,5.0800,-25.8260,30.4530,7.3810,-24.1710,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.3510,21:07:35:173,CustomTrial01-00,saw,0.0000,63427.3940,joe (1),Firebrick,72.4976,Eye,Visual Intake,1,112.0000,106.0000,5.2400,106.0000,90.0000,4.8400,394.7300,537.5100,394.7300,537.5100,394.7300,537.5100,-,-0.0725,-0.3637,0.9287,-0.1243,-0.3179,0.9399,-,-33.0560,5.0910,-25.8330,30.4610,7.3780,-24.1570,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.4020,21:07:35:190,CustomTrial01-00,saw,0.0000,63427.3940,joe (1),Firebrick,72.4976,Eye,Visual Intake,1,112.0000,104.0000,5.2200,106.0000,90.0000,4.9200,394.7300,537.5100,394.7300,537.5100,394.7300,537.5100,-,-0.0718,-0.3602,0.9301,-0.1255,-0.3161,0.9404,-,-33.0560,5.1020,-25.8420,30.4570,7.3650,-24.1340,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.4780,21:07:35:206,CustomTrial01-00,saw,0.0000,63427.3940,joe (1),Firebrick,72.4976,Eye,Visual Intake,1,112.0000,104.0000,5.2800,106.0000,90.0000,4.9200,394.7300,537.5100,394.7300,537.5100,394.7300,537.5100,-,-0.0723,-0.3573,0.9312,-0.1269,-0.3135,0.9411,-,-33.0570,5.1130,-25.8500,30.4680,7.3630,-24.1220,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
