RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:14:287,CustomTrial01-00,saw,0.0000,68189.8990,katie (2),DarkGreen,33.9982,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:14:287,CustomTrial01-00,saw,0.0000,68189.8990,katie (2),DarkGreen,33.9982,Eye,Visual Intake,1,138.0000,108.0000,5.4600,144.0000,110.0000,5.4600,362.8000,302.4700,362.8000,302.4700,362.8000,302.4700,Image A,-0.0315,-0.2723,0.9617,0.0991,-0.1411,0.9850,-,-29.3130,3.5040,-20.5180,28.0130,1.9350,-20.1550,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.3060,21:07:14:303,CustomTrial01-00,saw,0.0000,68189.8990,katie (2),DarkGreen,33.9982,Eye,Visual Intake,1,138.0000,108.0000,5.4800,144.0000,108.0000,5.4200,362.8000,302.4700,362.8000,302.4700,362.8000,302.4700,Image A,-0.0314,-0.2682,0.9629,0.1003,-0.1457,0.9842,-,-29.3120,3.5080,-20.5140,28.0370,1.9840,-20.1520,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
32.9740,21:07:14:320,CustomTrial01-00,saw,0.0000,68189.8990,katie (2),DarkGreen,33.9982,Eye,Visual Intake,1,138.0000,108.0000,5.5200,142.0000,108.0000,5.4200,362.8000,302.4700,362.8000,302.4700,362.8000,302.4700,Image A,-0.0358,-0.2688,0.9625,0.0996,-0.1446,0.9845,-,-29.3120,3.5070,-20.5110,28.1030,2.0160,-20.1230,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.5180,21:07:14:337,CustomTrial01-00,saw,0.0000,68189.8990,katie (2),DarkGreen,33.9982,Eye,Visual Intake,1,140.0000,110.0000,5.5400,144.0000,108.0000,5.4000,362.8000,302.4700,362.8000,302.4700,362.8000,302.4700,Image A,-0.0338,-0.2617,0.9646,0.0972,-0.1455,0.9846,-,-29.3130,3.5110,-20.5040,28.1560,2.0570,-20.1010,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.0970,21:07:14:353,CustomTrial01-00,saw,0.0000,68189.8990,katie (2),DarkGreen,33.9982,Eye,Visual Intake,1,140.0000,110.0000,5.5600,142.0000,106.0000,5.4000,362.8000,302.4700,362.8000,302.4700,362.8000,302.4700,Image A,-0.0349,-0.2613,0.9646,0.0977,-0.1447,0.9847,-,-29.3130,3.5140,-20.4980,28.1830,2.0920,-20.0960,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.0830,21:07:14:370,CustomTrial01-00,saw,0.0000,68189.8990,katie (2),DarkGreen,33.9982,Eye,Visual Intake,1,138.0000,110.0000,5.5000,142.0000,106.0000,5.3800,362.8000,302.4700,362.8000,302.4700,362.8000,302.4700,Image A,-0.0338,-0.2568,0.9659,0.0977,-0.1485,0.9841,-,-29.3150,3.5150,-20.4930,28.2090,2.1270,-20.0920,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.2280,21:07:14:386,CustomTrial01-00,saw,0.0000,68189.8990,katie (2),DarkGreen,33.9982,Eye,Visual Intake,1,138.0000,110.0000,5.5600,142.0000,106.0000,5.4000,362.8000,302.4700,362.8000,302.4700,362.8000,302.4700,Image A,-0.0356,-0.2602,0.9649,0.0969,-0.1468,0.9844,-,-29.3160,3.5190,-20.4850,28.2260,2.1610,-20.0870,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
115.7820,21:07:14:403,CustomTrial01-00,saw,0.0000,68189.8990,katie (2),DarkGreen,33.9982,Eye,Visual Intake,1,138.0000,112.0000,5.4800,142.0000,108.0000,5.4200,362.8000,302.4700,362.8000,302.4700,362.8000,302.4700,Image A,-0.0389,-0.2528,0.9667,0.0903,-0.1510,0.9844,-,-29.3180,3.5200,-20.4800,28.2890,2.2100,-20.0520,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
133.0490,21:07:14:420,CustomTrial01-00,saw,0.0000,68189.8990,katie (2),DarkGreen,33.9982,Eye,Visual Intake,1,140.0000,112.0000,5.5000,142.0000,106.0000,5.3800,362.8000,302.4700,362.8000,302.4700,362.8000,302.4700,Image A,-0.0395,-0.2508,0.9672,0.0880,-0.1540,0.9841,-,-29.3180,3.5200,-20.4750,28.3100,2.2380,-20.0450,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
