RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:10:587,CustomTrial01-00,saw,0.0000,93996.1960,sravan (2),DarkCyan,79.5954,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:10:587,CustomTrial01-00,saw,0.0000,93996.1960,sravan (2),DarkCyan,79.5954,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.2350,21:07:10:603,CustomTrial01-00,saw,0.0000,93996.1960,sravan (2),DarkCyan,79.5954,Eye,Visual Intake,1,94.0000,74.0000,3.5800,94.0000,66.0000,3.8600,408.0800,542.8700,408.0800,542.8700,408.0800,542.8700,-,-0.0296,-0.1301,0.9911,-0.1338,-0.0218,0.9908,-,-31.3950,-0.3940,-21.8610,30.8790,2.0650,-21.4770,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.3290,21:07:10:620,CustomTrial01-00,saw,0.0000,93996.1960,sravan (2),DarkCyan,79.5954,Eye,Visual Intake,1,94.0000,74.0000,3.6000,94.0000,66.0000,3.8400,408.0800,542.8700,408.0800,542.8700,408.0800,542.8700,-,-0.0289,-0.1298,0.9911,-0.1310,-0.0187,0.9912,-,-31.4000,-0.3920,-21.8640,30.8790,2.0650,-21.4770,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.5050,21:07:10:637,CustomTrial01-00,saw,0.0000,93996.1960,sravan (2),DarkCyan,79.5954,Eye,Visual Intake,1,92.0000,72.0000,3.5600,92.0000,66.0000,3.8400,408.0800,542.8700,408.0800,542.8700,408.0800,542.8700,-,-0.0258,-0.1265,0.9916,-0.1287,-0.0190,0.9915,-,-31.4060,-0.3920,-21.8660,30.8790,2.0650,-21.4770,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.0410,21:07:10:653,CustomTrial01-00,saw,0.0000,93996.1960,sravan (2),DarkCyan,79.5954,Eye,Visual Intake,1,92.0000,74.0000,3.5800,94.0000,66.0000,3.8000,408.0800,542.8700,408.0800,542.8700,408.0800,542.8700,-,-0.0251,-0.1251,0.9918,-0.1267,-0.0163,0.9918,-,-31.4110,-0.3920,-21.8680,30.8790,2.0650,-21.4770,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.0410,21:07:10:670,CustomTrial01-00,saw,0.0000,93996.1960,sravan (2),DarkCyan,79.5954,Eye,Visual Intake,1,92.0000,72.0000,3.5600,94.0000,66.0000,3.8000,408.0800,542.8700,408.0800,542.8700,408.0800,542.8700,-,-0.0248,-0.1253,0.9918,-0.1218,-0.0189,0.9924,-,-31.4150,-0.3940,-21.8670,30.8790,2.0650,-21.4770,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.1620,21:07:10:686,CustomTrial01-00,saw,0.0000,93996.1960,sravan (2),DarkCyan,79.5954,Eye,Visual Intake,1,92.0000,72.0000,3.5200,92.0000,66.0000,3.7600,408.0800,542.8700,408.0800,542.8700,408.0800,542.8700,-,-0.0207,-0.1252,0.9919,-0.1179,-0.0165,0.9929,-,-31.4210,-0.3920,-21.8700,30.8790,2.0650,-21.4770,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.0540,21:07:10:703,CustomTrial01-00,saw,0.0000,93996.1960,sravan (2),DarkCyan,79.5954,Eye,Visual Intake,1,90.0000,70.0000,3.4600,90.0000,68.0000,3.8000,408.0800,542.8700,408.0800,542.8700,408.0800,542.8700,-,-0.0191,-0.1222,0.9923,-0.1136,-0.0173,0.9934,-,-31.4270,-0.3910,-21.8720,30.8790,2.0650,-21.4770,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.3750,21:07:10:719,CustomTrial01-00,saw,0.0000,93996.1960,sravan (2),DarkCyan,79.5954,Eye,Visual Intake,1,90.0000,70.0000,3.4600,92.0000,68.0000,3.7800,408.0800,542.8700,408.0800,542.8700,408.0800,542.8700,-,-0.0170,-0.1220,0.9924,-0.1125,-0.0143,0.9936,-,-31.4320,-0.3900,-21.8750,30.8790,2.0650,-21.4770,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
