RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,16:22:06:486,CustomTrial01-00,saw,0.0000,74430.4520,aby (2),Lime,73.1555,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,16:22:06:486,CustomTrial01-00,saw,0.0000,74430.4520,aby (2),Lime,73.1555,Eye,Visual Intake,1,94.0000,64.0000,4.2400,94.0000,60.0000,5.4200,115.6000,139.0100,115.6000,139.0100,115.6000,139.0100,Image A,0.0420,-0.0070,0.9991,0.1500,0.1675,0.9744,-,-30.3010,5.8930,-21.4190,32.9540,9.1020,-20.2140,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.6670,16:22:06:503,CustomTrial01-00,saw,0.0000,74430.4520,aby (2),Lime,73.1555,Eye,Visual Intake,1,94.0000,64.0000,4.3000,94.0000,60.0000,5.4400,115.6000,139.0100,115.6000,139.0100,115.6000,139.0100,Image A,0.0410,-0.0095,0.9991,0.1558,0.1650,0.9739,-,-30.3010,5.8930,-21.4190,32.9540,9.1020,-20.2140,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.4840,16:22:06:519,CustomTrial01-00,saw,0.0000,74430.4520,aby (2),Lime,73.1555,Eye,Visual Intake,1,94.0000,66.0000,4.3400,92.0000,62.0000,5.5800,115.6000,139.0100,115.6000,139.0100,115.6000,139.0100,Image A,0.0378,-0.0044,0.9993,0.1621,0.1726,0.9716,-,-30.3010,5.8930,-21.4190,32.9540,9.1020,-20.2140,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.8690,16:22:06:536,CustomTrial01-00,saw,0.0000,74430.4520,aby (2),Lime,73.1555,Eye,Visual Intake,1,92.0000,66.0000,4.3400,92.0000,62.0000,5.5600,115.6000,139.0100,115.6000,139.0100,115.6000,139.0100,Image A,0.0379,-0.0032,0.9993,0.2065,0.1743,0.9628,-,-30.3010,5.8930,-21.4190,32.9540,9.1020,-20.2140,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
67.1040,16:22:06:553,CustomTrial01-00,saw,0.0000,74430.4520,aby (2),Lime,73.1555,Eye,Visual Intake,1,94.0000,66.0000,4.3600,92.0000,62.0000,5.6000,115.6000,139.0100,115.6000,139.0100,115.6000,139.0100,Image A,0.0386,-0.0025,0.9993,0.1558,0.1879,0.9698,-,-30.3010,5.8930,-21.4190,32.9540,9.1020,-20.2140,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.2470,16:22:06:569,CustomTrial01-00,saw,0.0000,74430.4520,aby (2),Lime,73.1555,Eye,Visual Intake,1,94.0000,66.0000,4.3600,92.0000,60.0000,5.6400,115.6000,139.0100,115.6000,139.0100,115.6000,139.0100,Image A,0.0383,-0.0035,0.9993,0.1607,0.1903,0.9685,-,-30.3010,5.8930,-21.4190,32.9540,9.1020,-20.2140,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.6340,16:22:06:586,CustomTrial01-00,saw,0.0000,74430.4520,aby (2),Lime,73.1555,Eye,Visual Intake,1,94.0000,66.0000,4.3400,92.0000,60.0000,5.6400,115.6000,139.0100,115.6000,139.0100,115.6000,139.0100,Image A,0.0376,0.0014,0.9993,0.1508,0.1904,0.9701,-,-30.3010,5.8930,-21.4190,32.9540,9.1020,-20.2140,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.2500,16:22:06:602,CustomTrial01-00,saw,0.0000,74430.4520,aby (2),Lime,73.1555,Eye,Visual Intake,1,94.0000,66.0000,4.3200,92.0000,60.0000,5.6000,115.6000,139.0100,115.6000,139.0100,115.6000,139.0100,Image A,0.0352,0.0017,0.9994,0.1596,0.1888,0.9690,-,-30.3010,5.8930,-21.4190,32.9540,9.1020,-20.2140,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.8260,16:22:06:619,CustomTrial01-00,saw,0.0000,74430.4520,aby (2),Lime,73.1555,Eye,Visual Intake,1,94.0000,66.0000,4.3400,92.0000,60.0000,5.6600,115.6000,139.0100,115.6000,139.0100,115.6000,139.0100,Image A,0.0375,0.0009,0.9993,0.1676,0.1949,0.9664,-,-30.3010,5.8930,-21.4190,32.9540,9.1020,-20.2140,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
