RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:32:697,CustomTrial01-00,saw,0.0000,63759.4630,brian (2),DimGray,81.9225,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:32:697,CustomTrial01-00,saw,0.0000,63759.4630,brian (2),DimGray,81.9225,Eye,Visual Intake,2,76.0000,62.0000,3.4000,78.0000,60.0000,3.3600,332.9900,701.9300,332.9900,701.9300,332.9900,701.9300,-,-0.0108,-0.1528,0.9882,-0.0421,-0.1342,0.9901,-,-32.7220,2.8180,-24.8840,33.0210,4.6720,-23.9530,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.7280,21:07:32:714,CustomTrial01-00,saw,0.0000,63759.4630,brian (2),DimGray,81.9225,Eye,Visual Intake,2,76.0000,62.0000,3.4000,76.0000,60.0000,3.3800,332.9900,701.9300,332.9900,701.9300,332.9900,701.9300,-,-0.0122,-0.1538,0.9880,-0.0395,-0.1350,0.9901,-,-32.7270,2.8580,-24.8950,33.0190,4.6710,-23.9590,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.2880,21:07:32:730,CustomTrial01-00,saw,0.0000,63759.4630,brian (2),DimGray,81.9225,Eye,Visual Intake,2,76.0000,62.0000,3.4000,76.0000,60.0000,3.4000,332.9900,701.9300,332.9900,701.9300,332.9900,701.9300,-,-0.0132,-0.1544,0.9879,-0.0397,-0.1338,0.9902,-,-32.7340,2.8920,-24.9050,33.0120,4.6590,-23.9550,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.8240,21:07:32:747,CustomTrial01-00,saw,0.0000,63759.4630,brian (2),DimGray,81.9225,Eye,Visual Intake,2,76.0000,62.0000,3.4000,76.0000,60.0000,3.3600,332.9900,701.9300,332.9900,701.9300,332.9900,701.9300,-,-0.0139,-0.1543,0.9879,-0.0393,-0.1308,0.9906,-,-32.7390,2.9110,-24.9080,33.0070,4.6470,-23.9510,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.3610,21:07:32:763,CustomTrial01-00,saw,0.0000,63759.4630,brian (2),DimGray,81.9225,Eye,Visual Intake,2,76.0000,62.0000,3.4200,76.0000,60.0000,3.3600,332.9900,701.9300,332.9900,701.9300,332.9900,701.9300,-,-0.0141,-0.1551,0.9878,-0.0388,-0.1318,0.9905,-,-32.7470,2.9260,-24.9080,33.0050,4.6410,-23.9510,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
82.9440,21:07:32:780,CustomTrial01-00,saw,0.0000,63759.4630,brian (2),DimGray,81.9225,Eye,Visual Intake,2,76.0000,64.0000,3.4200,76.0000,60.0000,3.3600,332.9900,701.9300,332.9900,701.9300,332.9900,701.9300,-,-0.0134,-0.1563,0.9876,-0.0372,-0.1302,0.9908,-,-32.7540,2.9410,-24.9090,33.0030,4.6330,-23.9510,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.6530,21:07:32:797,CustomTrial01-00,saw,0.0000,63759.4630,brian (2),DimGray,81.9225,Eye,Visual Intake,2,76.0000,64.0000,3.4400,76.0000,60.0000,3.3600,332.9900,701.9300,332.9900,701.9300,332.9900,701.9300,-,-0.0119,-0.1599,0.9871,-0.0369,-0.1294,0.9909,-,-32.7600,2.9540,-24.9080,33.0000,4.6270,-23.9510,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.3290,21:07:32:813,CustomTrial01-00,saw,0.0000,63759.4630,brian (2),DimGray,81.9225,Eye,Visual Intake,2,76.0000,64.0000,3.4400,76.0000,60.0000,3.3600,332.9900,701.9300,332.9900,701.9300,332.9900,701.9300,-,-0.0127,-0.1613,0.9868,-0.0380,-0.1285,0.9910,-,-32.7650,2.9680,-24.9090,32.9980,4.6210,-23.9520,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.6460,21:07:32:830,CustomTrial01-00,saw,0.0000,63759.4630,brian (2),DimGray,81.9225,Eye,Visual Intake,2,76.0000,64.0000,3.4400,76.0000,60.0000,3.3800,332.9900,701.9300,332.9900,701.9300,332.9900,701.9300,-,-0.0132,-0.1611,0.9869,-0.0363,-0.1300,0.9909,-,-32.7700,2.9800,-24.9090,32.9960,4.6160,-23.9520,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
