RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:49:798,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:49:798,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.3620,21:07:49:814,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,Visual Intake,7,108.0000,80.0000,4.1000,104.0000,64.0000,3.7000,135.2700,296.7800,135.2700,296.7800,135.2700,296.7800,Image A,-0.1175,-0.0293,0.9926,-0.1754,-0.0494,0.9833,-,-32.5910,-1.5270,-24.1730,32.9210,1.7300,-22.5860,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
32.9890,21:07:49:831,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,Visual Intake,7,110.0000,80.0000,4.1200,102.0000,58.0000,3.6800,135.2700,296.7800,135.2700,296.7800,135.2700,296.7800,Image A,-0.1021,-0.0274,0.9944,-0.1632,-0.0515,0.9853,-,-32.5930,-1.5160,-24.1720,32.9210,1.7300,-22.5860,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.4230,21:07:49:847,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,Visual Intake,7,110.0000,78.0000,4.0800,104.0000,58.0000,3.5400,135.2700,296.7800,135.2700,296.7800,135.2700,296.7800,Image A,-0.0875,-0.0217,0.9959,-0.1424,-0.0419,0.9889,-,-32.5880,-1.5160,-24.1660,32.9200,1.7300,-22.5890,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.7020,21:07:49:865,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,Visual Intake,7,110.0000,78.0000,4.0600,104.0000,60.0000,3.5800,135.2700,296.7800,135.2700,296.7800,135.2700,296.7800,Image A,-0.0788,-0.0216,0.9967,-0.1305,-0.0395,0.9907,-,-32.5820,-1.5150,-24.1600,32.9200,1.7290,-22.5920,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.0370,21:07:49:881,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,Visual Intake,7,112.0000,78.0000,4.0600,102.0000,58.0000,3.5000,135.2700,296.7800,135.2700,296.7800,135.2700,296.7800,Image A,-0.0560,-0.0157,0.9983,-0.1146,-0.0314,0.9929,-,-32.5750,-1.5200,-24.1530,32.9200,1.7290,-22.5920,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.1810,21:07:49:897,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,Visual Intake,7,110.0000,78.0000,4.0600,100.0000,58.0000,3.4000,135.2700,296.7800,135.2700,296.7800,135.2700,296.7800,Image A,-0.0455,-0.0112,0.9989,-0.0979,-0.0223,0.9950,-,-32.5660,-1.5300,-24.1450,32.9190,1.7310,-22.5960,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.3900,21:07:49:914,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,Visual Intake,7,110.0000,76.0000,4.0800,102.0000,58.0000,3.3400,135.2700,296.7800,135.2700,296.7800,135.2700,296.7800,Image A,-0.0251,-0.0111,0.9996,-0.0767,-0.0178,0.9969,-,-32.5600,-1.5270,-24.1380,32.9190,1.7310,-22.5960,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.6280,21:07:49:931,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,Saccade,1,110.0000,76.0000,4.1200,102.0000,58.0000,3.3000,135.2700,296.7800,135.2700,296.7800,135.2700,296.7800,Image A,-0.0140,-0.0082,0.9999,-0.0595,-0.0125,0.9982,-,-32.5500,-1.5340,-24.1300,32.9180,1.7340,-22.6000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
149.1790,21:07:49:947,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
165.5720,21:07:49:964,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
182.3340,21:07:49:980,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
199.2970,21:07:49:997,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
215.6280,21:07:50:014,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,Visual Intake,8,112.0000,92.0000,4.2000,104.0000,76.0000,3.9600,271.9800,422.6800,271.9800,422.6800,271.9800,422.6800,Image A,-0.0693,-0.1684,0.9833,-0.1480,-0.1516,0.9773,-,-32.4970,-1.6040,-24.1070,32.9160,1.7320,-22.6050,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
232.4440,21:07:50:030,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,Visual Intake,8,110.0000,92.0000,4.2000,104.0000,76.0000,3.9200,271.9800,422.6800,271.9800,422.6800,271.9800,422.6800,Image A,-0.0599,-0.1629,0.9848,-0.1335,-0.1492,0.9798,-,-32.4820,-1.6270,-24.0980,32.9160,1.7320,-22.6050,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
248.9380,21:07:50:047,CustomTrial01-00,saw,0.0000,116001.5360,doug alleman,LawnGreen,70.1427,Eye,Visual Intake,8,112.0000,90.0000,4.2000,106.0000,76.0000,3.9800,271.9800,422.6800,271.9800,422.6800,271.9800,422.6800,Image A,-0.0534,-0.1611,0.9855,-0.1294,-0.1497,0.9802,-,-32.4710,-1.6420,-24.0930,32.9160,1.7320,-22.6050,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
