RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:03:774,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:03:774,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.6350,21:07:03:791,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,Visual Intake,2,64.0000,50.0000,2.9800,44.0000,54.0000,3.3400,825.5100,932.8100,825.5100,932.8100,825.5100,932.8100,-,-0.4166,0.0125,0.9090,-0.0049,0.0344,0.9994,-,-32.7040,-0.8200,-25.4250,31.6000,2.7000,-24.3000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.5690,21:07:03:808,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,Visual Intake,2,64.0000,50.0000,3.0000,44.0000,54.0000,3.2600,825.5100,932.8100,825.5100,932.8100,825.5100,932.8100,-,-0.4166,0.0124,0.9090,0.0066,0.0339,0.9994,-,-32.7040,-0.8200,-25.4250,31.6000,2.7000,-24.3000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.8560,21:07:03:824,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,Visual Intake,2,66.0000,50.0000,3.0400,44.0000,54.0000,3.3800,825.5100,932.8100,825.5100,932.8100,825.5100,932.8100,-,-0.4158,0.0098,0.9094,-0.0037,0.0298,0.9996,-,-32.7040,-0.8200,-25.4250,31.6000,2.7000,-24.3000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.7230,21:07:03:841,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,Visual Intake,2,66.0000,54.0000,3.0400,46.0000,54.0000,3.3200,825.5100,932.8100,825.5100,932.8100,825.5100,932.8100,-,-0.4112,0.0119,0.9115,0.0067,0.0350,0.9994,-,-32.7040,-0.8200,-25.4250,31.6000,2.7000,-24.3000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.0820,21:07:03:857,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,Visual Intake,2,66.0000,54.0000,3.0800,48.0000,54.0000,3.3600,825.5100,932.8100,825.5100,932.8100,825.5100,932.8100,-,-0.4132,0.0137,0.9106,0.0080,0.0331,0.9994,-,-32.7040,-0.8200,-25.4250,31.6000,2.7000,-24.3000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.7730,21:07:03:874,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,Visual Intake,2,66.0000,54.0000,3.0600,46.0000,54.0000,3.3200,825.5100,932.8100,825.5100,932.8100,825.5100,932.8100,-,-0.4116,0.0147,0.9113,0.0074,0.0351,0.9994,-,-32.7040,-0.8200,-25.4250,31.6000,2.7000,-24.3000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.2670,21:07:03:890,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,Visual Intake,2,66.0000,54.0000,3.1000,44.0000,52.0000,3.1600,825.5100,932.8100,825.5100,932.8100,825.5100,932.8100,-,-0.4102,0.0112,0.9119,0.0154,0.0420,0.9990,-,-32.7040,-0.8200,-25.4250,31.6000,2.7000,-24.3000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.8870,21:07:03:907,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,Visual Intake,2,68.0000,54.0000,3.1200,46.0000,52.0000,3.3000,825.5100,932.8100,825.5100,932.8100,825.5100,932.8100,-,-0.4093,0.0110,0.9123,0.0100,0.0351,0.9993,-,-32.7040,-0.8200,-25.4250,31.6000,2.7000,-24.3000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
149.7570,21:07:03:924,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,Visual Intake,2,68.0000,52.0000,2.9800,48.0000,54.0000,3.3400,825.5100,932.8100,825.5100,932.8100,825.5100,932.8100,-,-0.4075,0.0170,0.9130,0.0113,0.0347,0.9993,-,-32.7040,-0.8200,-25.4250,31.6000,2.7000,-24.3000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
166.1650,21:07:03:940,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,Visual Intake,2,68.0000,52.0000,3.0200,46.0000,52.0000,3.1600,825.5100,932.8100,825.5100,932.8100,825.5100,932.8100,-,-0.4070,0.0140,0.9133,0.0243,0.0393,0.9989,-,-32.7040,-0.8200,-25.4250,31.6000,2.7000,-24.3000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
182.9500,21:07:03:957,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,Blink,2,68.0000,54.0000,3.0400,52.0000,56.0000,3.2000,825.5100,932.8100,825.5100,932.8100,825.5100,932.8100,-,-0.4031,0.0119,0.9151,0.0228,0.0501,0.9985,-,-32.7040,-0.8200,-25.4250,31.6000,2.7000,-24.3000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
199.2100,21:07:03:973,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
215.9760,21:07:03:990,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
232.4460,21:07:04:006,CustomTrial01-00,saw,0.0000,147615.9110,guiermo final,Coral,51.7108,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
