RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:46:020,CustomTrial01-00,saw,0.0000,140579.1370,james harper (1),IndianRed,82.2905,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:46:020,CustomTrial01-00,saw,0.0000,140579.1370,james harper (1),IndianRed,82.2905,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.8680,21:07:46:037,CustomTrial01-00,saw,0.0000,140579.1370,james harper (1),IndianRed,82.2905,Eye,Visual Intake,10,90.0000,86.0000,4.1200,90.0000,80.0000,4.2400,101.0400,54.2700,101.0400,54.2700,101.0400,54.2700,Image A,-0.0725,-0.3046,0.9497,-0.0703,-0.2719,0.9598,-,-32.9460,3.9580,-24.5050,31.7570,7.0050,-24.0220,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.1440,21:07:46:053,CustomTrial01-00,saw,0.0000,140579.1370,james harper (1),IndianRed,82.2905,Eye,Visual Intake,10,88.0000,84.0000,4.0200,92.0000,80.0000,4.2200,101.0400,54.2700,101.0400,54.2700,101.0400,54.2700,Image A,-0.0808,-0.3099,0.9473,-0.0762,-0.2757,0.9582,-,-32.9440,3.9680,-24.5090,31.7660,7.0010,-24.0200,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.4960,21:07:46:069,CustomTrial01-00,saw,0.0000,140579.1370,james harper (1),IndianRed,82.2905,Eye,Visual Intake,10,88.0000,84.0000,4.0200,92.0000,80.0000,4.2400,101.0400,54.2700,101.0400,54.2700,101.0400,54.2700,Image A,-0.0792,-0.3134,0.9463,-0.0771,-0.2775,0.9576,-,-32.9430,3.9780,-24.5140,31.7740,7.0010,-24.0190,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.7160,21:07:46:087,CustomTrial01-00,saw,0.0000,140579.1370,james harper (1),IndianRed,82.2905,Eye,Visual Intake,10,88.0000,84.0000,4.0000,90.0000,80.0000,4.1800,101.0400,54.2700,101.0400,54.2700,101.0400,54.2700,Image A,-0.0787,-0.3197,0.9442,-0.0795,-0.2848,0.9553,-,-32.9420,3.9880,-24.5180,31.7820,7.0060,-24.0190,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
82.5800,21:07:46:103,CustomTrial01-00,saw,0.0000,140579.1370,james harper (1),IndianRed,82.2905,Eye,Visual Intake,10,88.0000,84.0000,4.0200,90.0000,80.0000,4.1600,101.0400,54.2700,101.0400,54.2700,101.0400,54.2700,Image A,-0.0795,-0.3265,0.9419,-0.0806,-0.2885,0.9541,-,-32.9400,3.9980,-24.5220,31.7890,7.0100,-24.0190,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.6660,21:07:46:120,CustomTrial01-00,saw,0.0000,140579.1370,james harper (1),IndianRed,82.2905,Eye,Visual Intake,10,88.0000,84.0000,4.0000,88.0000,78.0000,4.1200,101.0400,54.2700,101.0400,54.2700,101.0400,54.2700,Image A,-0.0823,-0.3306,0.9402,-0.0796,-0.2926,0.9529,-,-32.9390,4.0090,-24.5270,31.7970,7.0150,-24.0190,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.1370,21:07:46:136,CustomTrial01-00,saw,0.0000,140579.1370,james harper (1),IndianRed,82.2905,Eye,Visual Intake,10,86.0000,84.0000,3.9800,88.0000,78.0000,4.1000,101.0400,54.2700,101.0400,54.2700,101.0400,54.2700,Image A,-0.0860,-0.3329,0.9390,-0.0793,-0.2958,0.9519,-,-32.9380,4.0180,-24.5310,31.8020,7.0200,-24.0180,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.7830,21:07:46:153,CustomTrial01-00,saw,0.0000,140579.1370,james harper (1),IndianRed,82.2905,Eye,Visual Intake,10,86.0000,82.0000,3.8600,88.0000,80.0000,4.0400,101.0400,54.2700,101.0400,54.2700,101.0400,54.2700,Image A,-0.0870,-0.3389,0.9368,-0.0802,-0.2988,0.9509,-,-32.9360,4.0280,-24.5350,31.8060,7.0260,-24.0180,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
