RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,16:22:08:202,CustomTrial01-00,saw,0.0000,112201.4400,kyle (2),Maroon,78.7572,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,16:22:08:202,CustomTrial01-00,saw,0.0000,112201.4400,kyle (2),Maroon,78.7572,Eye,Visual Intake,2,122.0000,92.0000,5.0600,110.0000,86.0000,4.7200,134.5900,217.9300,134.5900,217.9300,134.5900,217.9300,Image A,0.0289,-0.1502,0.9882,0.0989,-0.1077,0.9893,-,-32.3510,2.5520,-22.1260,32.0070,3.9200,-21.6360,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.6090,16:22:08:219,CustomTrial01-00,saw,0.0000,112201.4400,kyle (2),Maroon,78.7572,Eye,Visual Intake,2,122.0000,88.0000,5.0000,110.0000,86.0000,4.7000,134.5900,217.9300,134.5900,217.9300,134.5900,217.9300,Image A,0.0293,-0.1482,0.9885,0.1003,-0.1056,0.9893,-,-32.3630,2.5190,-22.1170,32.0070,3.9200,-21.6360,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.1770,16:22:08:235,CustomTrial01-00,saw,0.0000,112201.4400,kyle (2),Maroon,78.7572,Eye,Visual Intake,2,124.0000,88.0000,5.0000,110.0000,86.0000,4.6800,134.5900,217.9300,134.5900,217.9300,134.5900,217.9300,Image A,0.0276,-0.1459,0.9889,0.1034,-0.1035,0.9892,-,-32.3750,2.4960,-22.1120,32.0070,3.9200,-21.6360,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.9150,16:22:08:252,CustomTrial01-00,saw,0.0000,112201.4400,kyle (2),Maroon,78.7572,Eye,Visual Intake,2,124.0000,92.0000,5.0200,106.0000,86.0000,4.6200,134.5900,217.9300,134.5900,217.9300,134.5900,217.9300,Image A,0.0270,-0.1426,0.9894,0.1063,-0.1015,0.9891,-,-32.3850,2.4680,-22.1070,32.0070,3.9200,-21.6360,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.4160,16:22:08:268,CustomTrial01-00,saw,0.0000,112201.4400,kyle (2),Maroon,78.7572,Eye,Visual Intake,2,124.0000,92.0000,5.0400,108.0000,86.0000,4.6000,134.5900,217.9300,134.5900,217.9300,134.5900,217.9300,Image A,0.0273,-0.1402,0.9898,0.1097,-0.0948,0.9894,-,-32.3940,2.4420,-22.1020,32.0060,3.8970,-21.6240,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
82.9730,16:22:08:285,CustomTrial01-00,saw,0.0000,112201.4400,kyle (2),Maroon,78.7572,Eye,Visual Intake,2,124.0000,94.0000,5.0400,106.0000,86.0000,4.6200,134.5900,217.9300,134.5900,217.9300,134.5900,217.9300,Image A,0.0281,-0.1382,0.9900,0.1096,-0.0905,0.9898,-,-32.4040,2.4200,-22.0970,32.0040,3.8740,-21.6130,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.5560,16:22:08:302,CustomTrial01-00,saw,0.0000,112201.4400,kyle (2),Maroon,78.7572,Eye,Visual Intake,2,124.0000,92.0000,5.0400,106.0000,86.0000,4.6400,134.5900,217.9300,134.5900,217.9300,134.5900,217.9300,Image A,0.0287,-0.1365,0.9902,0.1080,-0.0915,0.9899,-,-32.4120,2.3990,-22.0900,32.0040,3.8520,-21.6020,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.4000,16:22:08:318,CustomTrial01-00,saw,0.0000,112201.4400,kyle (2),Maroon,78.7572,Eye,Visual Intake,2,122.0000,92.0000,5.0400,106.0000,84.0000,4.6000,134.5900,217.9300,134.5900,217.9300,134.5900,217.9300,Image A,0.0285,-0.1340,0.9906,0.1112,-0.0846,0.9902,-,-32.4210,2.3790,-22.0850,32.0030,3.8300,-21.5920,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.7380,16:22:08:335,CustomTrial01-00,saw,0.0000,112201.4400,kyle (2),Maroon,78.7572,Eye,Visual Intake,2,122.0000,94.0000,5.0600,106.0000,86.0000,4.6000,134.5900,217.9300,134.5900,217.9300,134.5900,217.9300,Image A,0.0297,-0.1332,0.9907,0.1088,-0.0874,0.9902,-,-32.4280,2.3610,-22.0790,32.0020,3.8110,-21.5820,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
