RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:40:152,CustomTrial01-00,saw,0.0000,71492.7830,nathan (2),Goldenrod,80.6608,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:40:152,CustomTrial01-00,saw,0.0000,71492.7830,nathan (2),Goldenrod,80.6608,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.7620,21:07:40:169,CustomTrial01-00,saw,0.0000,71492.7830,nathan (2),Goldenrod,80.6608,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.2690,21:07:40:185,CustomTrial01-00,saw,0.0000,71492.7830,nathan (2),Goldenrod,80.6608,Eye,Visual Intake,2,92.0000,82.0000,4.4600,112.0000,100.0000,4.7000,516.8900,538.0400,516.8900,538.0400,516.8900,538.0400,-,-0.1098,-0.3835,0.9170,-0.0464,-0.3029,0.9519,-,-32.7130,1.3340,-26.3570,32.2790,3.7320,-23.8040,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
50.3660,21:07:40:202,CustomTrial01-00,saw,0.0000,71492.7830,nathan (2),Goldenrod,80.6608,Eye,Visual Intake,2,108.0000,82.0000,4.6000,112.0000,100.0000,4.6800,516.8900,538.0400,516.8900,538.0400,516.8900,538.0400,-,-0.0902,-0.3706,0.9244,-0.0439,-0.3043,0.9516,-,-32.7210,1.3350,-26.3730,32.2750,3.7440,-23.8070,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.3980,21:07:40:218,CustomTrial01-00,saw,0.0000,71492.7830,nathan (2),Goldenrod,80.6608,Eye,Visual Intake,2,108.0000,84.0000,4.5800,112.0000,100.0000,4.6800,516.8900,538.0400,516.8900,538.0400,516.8900,538.0400,-,-0.0893,-0.3703,0.9246,-0.0420,-0.3040,0.9518,-,-32.7340,1.3340,-26.3890,32.2720,3.7550,-23.8100,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.0020,21:07:40:235,CustomTrial01-00,saw,0.0000,71492.7830,nathan (2),Goldenrod,80.6608,Eye,Visual Intake,2,106.0000,84.0000,4.5000,112.0000,102.0000,4.7400,516.8900,538.0400,516.8900,538.0400,516.8900,538.0400,-,-0.0928,-0.3772,0.9215,-0.0424,-0.3012,0.9526,-,-32.7360,1.3340,-26.3920,32.2700,3.7650,-23.8130,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.6950,21:07:40:252,CustomTrial01-00,saw,0.0000,71492.7830,nathan (2),Goldenrod,80.6608,Eye,Visual Intake,2,102.0000,82.0000,4.4600,112.0000,102.0000,4.7200,516.8900,538.0400,516.8900,538.0400,516.8900,538.0400,-,-0.0937,-0.3768,0.9216,-0.0397,-0.3002,0.9531,-,-32.7350,1.3350,-26.3940,32.2680,3.7740,-23.8130,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.1800,21:07:40:268,CustomTrial01-00,saw,0.0000,71492.7830,nathan (2),Goldenrod,80.6608,Eye,Visual Intake,2,108.0000,86.0000,4.5400,112.0000,100.0000,4.7600,516.8900,538.0400,516.8900,538.0400,516.8900,538.0400,-,-0.0928,-0.3743,0.9227,-0.0383,-0.2996,0.9533,-,-32.7360,1.3350,-26.3950,32.2620,3.7740,-23.8090,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.8560,21:07:40:285,CustomTrial01-00,saw,0.0000,71492.7830,nathan (2),Goldenrod,80.6608,Eye,Visual Intake,2,108.0000,86.0000,4.4800,112.0000,100.0000,4.7000,516.8900,538.0400,516.8900,538.0400,516.8900,538.0400,-,-0.0953,-0.3800,0.9201,-0.0387,-0.2991,0.9535,-,-32.7390,1.3340,-26.3960,32.2600,3.7750,-23.8040,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
