RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,16:22:02:965,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,16:22:02:965,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.5030,16:22:02:982,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,124.0000,84.0000,4.6600,128.0000,84.0000,4.3200,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0308,-0.0071,0.9995,0.0738,-0.0613,0.9954,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.4700,16:22:02:998,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,124.0000,84.0000,4.6800,130.0000,84.0000,4.3400,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0358,-0.0092,0.9993,0.0729,-0.0576,0.9957,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
50.0810,16:22:03:015,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,124.0000,84.0000,4.6600,130.0000,86.0000,4.5200,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0392,-0.0076,0.9992,0.0792,-0.0702,0.9944,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.2400,16:22:03:031,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,126.0000,86.0000,4.7400,128.0000,86.0000,4.5400,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0410,-0.0063,0.9991,0.0773,-0.0712,0.9945,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
82.8210,16:22:03:048,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,124.0000,84.0000,4.6200,128.0000,84.0000,4.5800,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0448,-0.0005,0.9990,0.0716,-0.0656,0.9953,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.6850,16:22:03:065,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,126.0000,84.0000,4.6800,128.0000,84.0000,4.6200,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0433,-0.0047,0.9991,0.0726,-0.0714,0.9948,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.0260,16:22:03:081,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,126.0000,86.0000,4.7400,128.0000,84.0000,4.7400,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0440,-0.0035,0.9990,0.0668,-0.0737,0.9950,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.9760,16:22:03:098,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,126.0000,86.0000,4.7600,128.0000,84.0000,4.7400,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0431,-0.0022,0.9991,0.0665,-0.0776,0.9948,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
149.8110,16:22:03:115,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,124.0000,86.0000,4.7400,130.0000,84.0000,4.7400,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0410,-0.0071,0.9991,0.0719,-0.0758,0.9945,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
165.7360,16:22:03:131,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,124.0000,80.0000,4.6800,130.0000,84.0000,4.7200,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0447,-0.0004,0.9990,0.0735,-0.0757,0.9944,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
183.0240,16:22:03:148,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,126.0000,86.0000,4.7800,130.0000,86.0000,4.7400,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0465,-0.0050,0.9989,0.0740,-0.0754,0.9944,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
199.0240,16:22:03:164,CustomTrial01-00,saw,0.0000,110757.4560,sara (2),LightPink,62.8852,Eye,Visual Intake,4,124.0000,84.0000,4.6800,130.0000,86.0000,4.7600,-70.4300,456.5200,-70.4300,456.5200,-70.4300,456.5200,-,0.0519,-0.0015,0.9987,0.0743,-0.0810,0.9939,-,-29.1080,-0.3750,-20.6850,30.3640,1.1350,-20.8420,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
