RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:16:953,CustomTrial01-00,saw,0.0000,89034.1880,sid (1),DarkMagenta,80.4747,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:16:953,CustomTrial01-00,saw,0.0000,89034.1880,sid (1),DarkMagenta,80.4747,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.5960,21:07:16:970,CustomTrial01-00,saw,0.0000,89034.1880,sid (1),DarkMagenta,80.4747,Eye,Visual Intake,1,90.0000,74.0000,3.5200,84.0000,66.0000,3.4000,347.3400,315.2000,347.3400,315.2000,347.3400,315.2000,Image A,-0.0480,-0.1966,0.9793,-0.0579,-0.0959,0.9937,-,-31.8840,0.0260,-22.6470,31.4380,1.8880,-21.0920,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.1710,21:07:16:986,CustomTrial01-00,saw,0.0000,89034.1880,sid (1),DarkMagenta,80.4747,Eye,Visual Intake,1,90.0000,74.0000,3.5200,84.0000,66.0000,3.3800,347.3400,315.2000,347.3400,315.2000,347.3400,315.2000,Image A,-0.0482,-0.1968,0.9793,-0.0571,-0.1008,0.9933,-,-31.8780,-0.0350,-22.6140,31.4330,1.8760,-21.0490,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.7490,21:07:17:003,CustomTrial01-00,saw,0.0000,89034.1880,sid (1),DarkMagenta,80.4747,Eye,Visual Intake,1,90.0000,74.0000,3.5200,84.0000,66.0000,3.3800,347.3400,315.2000,347.3400,315.2000,347.3400,315.2000,Image A,-0.0479,-0.1974,0.9792,-0.0556,-0.1058,0.9928,-,-31.8770,-0.0670,-22.6020,31.4300,1.8650,-21.0140,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.3540,21:07:17:019,CustomTrial01-00,saw,0.0000,89034.1880,sid (1),DarkMagenta,80.4747,Eye,Visual Intake,1,90.0000,74.0000,3.5400,84.0000,66.0000,3.3800,347.3400,315.2000,347.3400,315.2000,347.3400,315.2000,Image A,-0.0471,-0.1975,0.9792,-0.0557,-0.1115,0.9922,-,-31.8780,-0.0900,-22.5930,31.4290,1.8600,-20.9870,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.0020,21:07:17:036,CustomTrial01-00,saw,0.0000,89034.1880,sid (1),DarkMagenta,80.4747,Eye,Visual Intake,1,90.0000,76.0000,3.5200,84.0000,66.0000,3.4000,347.3400,315.2000,347.3400,315.2000,347.3400,315.2000,Image A,-0.0450,-0.1984,0.9791,-0.0569,-0.1127,0.9920,-,-31.8770,-0.1100,-22.5850,31.4290,1.8570,-20.9650,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.6050,21:07:17:053,CustomTrial01-00,saw,0.0000,89034.1880,sid (1),DarkMagenta,80.4747,Eye,Visual Intake,1,90.0000,76.0000,3.5400,86.0000,66.0000,3.4000,347.3400,315.2000,347.3400,315.2000,347.3400,315.2000,Image A,-0.0459,-0.1988,0.9790,-0.0568,-0.1185,0.9913,-,-31.8770,-0.1260,-22.5800,31.4360,1.8600,-20.9530,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.1520,21:07:17:069,CustomTrial01-00,saw,0.0000,89034.1880,sid (1),DarkMagenta,80.4747,Eye,Visual Intake,1,90.0000,76.0000,3.5200,84.0000,66.0000,3.3800,347.3400,315.2000,347.3400,315.2000,347.3400,315.2000,Image A,-0.0475,-0.2009,0.9785,-0.0579,-0.1182,0.9913,-,-31.8730,-0.1310,-22.5830,31.4420,1.8610,-20.9410,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.7510,21:07:17:086,CustomTrial01-00,saw,0.0000,89034.1880,sid (1),DarkMagenta,80.4747,Eye,Visual Intake,1,90.0000,76.0000,3.5200,84.0000,66.0000,3.3800,347.3400,315.2000,347.3400,315.2000,347.3400,315.2000,Image A,-0.0480,-0.2007,0.9785,-0.0594,-0.1213,0.9908,-,-31.8680,-0.1250,-22.5930,31.4470,1.8620,-20.9310,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
