RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,16:22:04:757,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,16:22:04:757,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,6,88.0000,70.0000,3.3800,94.0000,58.0000,3.6200,451.4100,0.2600,451.4100,0.2600,451.4100,0.2600,Image A,-0.0473,-0.3866,0.9210,-0.1222,-0.3448,0.9307,-,-32.5550,5.2630,-22.5240,27.0200,6.9040,-20.0410,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.3600,16:22:04:773,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,6,88.0000,72.0000,3.5200,94.0000,58.0000,3.7200,451.4100,0.2600,451.4100,0.2600,451.4100,0.2600,Image A,-0.0478,-0.3874,0.9207,-0.1171,-0.3496,0.9295,-,-32.5550,5.2630,-22.5240,27.0180,6.9020,-20.0350,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.2760,16:22:04:790,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,6,88.0000,70.0000,3.5000,94.0000,60.0000,3.7400,451.4100,0.2600,451.4100,0.2600,451.4100,0.2600,Image A,-0.0480,-0.3870,0.9208,-0.1194,-0.3486,0.9296,-,-32.5550,5.2630,-22.5240,27.0180,6.9020,-20.0350,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.5000,16:22:04:807,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,6,88.0000,70.0000,3.4400,92.0000,60.0000,3.7400,451.4100,0.2600,451.4100,0.2600,451.4100,0.2600,Image A,-0.0520,-0.3832,0.9222,-0.1204,-0.3471,0.9301,-,-32.5550,5.2630,-22.5240,27.0180,6.9020,-20.0350,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
66.2530,16:22:04:823,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,6,88.0000,68.0000,3.4400,92.0000,60.0000,3.7200,451.4100,0.2600,451.4100,0.2600,451.4100,0.2600,Image A,-0.0497,-0.3826,0.9226,-0.1204,-0.3450,0.9308,-,-32.5550,5.2630,-22.5240,27.0180,6.9020,-20.0350,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
83.3310,16:22:04:840,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,6,88.0000,70.0000,3.5200,94.0000,60.0000,3.7000,451.4100,0.2600,451.4100,0.2600,451.4100,0.2600,Image A,-0.0506,-0.3823,0.9227,-0.1238,-0.3416,0.9316,-,-32.5550,5.2630,-22.5240,27.0180,6.9020,-20.0350,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.3200,16:22:04:856,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,6,86.0000,68.0000,3.4000,92.0000,58.0000,3.5800,451.4100,0.2600,451.4100,0.2600,451.4100,0.2600,Image A,-0.0562,-0.3771,0.9245,-0.1229,-0.3351,0.9341,-,-32.5550,5.2630,-22.5240,27.0180,6.9020,-20.0350,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.0780,16:22:04:873,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,6,86.0000,68.0000,3.4200,94.0000,58.0000,3.7000,451.4100,0.2600,451.4100,0.2600,451.4100,0.2600,Image A,-0.0566,-0.3748,0.9254,-0.1234,-0.3397,0.9324,-,-32.5550,5.2630,-22.5240,27.0260,6.8750,-20.0230,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
132.7270,16:22:04:890,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,6,88.0000,68.0000,3.3800,94.0000,60.0000,3.7200,451.4100,0.2600,451.4100,0.2600,451.4100,0.2600,Image A,-0.0597,-0.3715,0.9265,-0.1252,-0.3353,0.9338,-,-32.5550,5.2630,-22.5240,27.0340,6.8480,-20.0120,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
149.7540,16:22:04:907,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,6,88.0000,68.0000,3.4200,90.0000,56.0000,3.5800,451.4100,0.2600,451.4100,0.2600,451.4100,0.2600,Image A,-0.0590,-0.3689,0.9276,-0.1286,-0.3223,0.9379,-,-32.5550,5.2630,-22.5240,27.0420,6.8160,-20.0040,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
166.3850,16:22:04:923,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Saccade,1,86.0000,66.0000,3.4000,94.0000,58.0000,3.6200,451.4100,0.2600,451.4100,0.2600,451.4100,0.2600,Image A,-0.0622,-0.3692,0.9273,-0.1264,-0.3227,0.9380,-,-32.5550,5.2630,-22.5240,27.0490,6.7920,-19.9940,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
182.4540,16:22:04:939,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
199.2060,16:22:04:956,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
215.7370,16:22:04:973,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
232.2800,16:22:04:989,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
249.0930,16:22:05:006,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
265.4240,16:22:05:022,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
282.1130,16:22:05:039,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
298.6650,16:22:05:056,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
315.3050,16:22:05:072,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
332.2200,16:22:05:089,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
348.4440,16:22:05:105,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
365.5060,16:22:05:123,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
381.6940,16:22:05:139,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
398.0970,16:22:05:155,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
415.0950,16:22:05:172,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
431.4430,16:22:05:188,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
448.1150,16:22:05:205,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
464.6200,16:22:05:222,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
481.7330,16:22:05:239,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
497.8950,16:22:05:255,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
514.2040,16:22:05:271,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,7,80.0000,62.0000,3.2800,88.0000,52.0000,3.2600,382.3500,387.4200,382.3500,387.4200,382.3500,387.4200,Image A,-0.0590,-0.3204,0.9455,-0.1282,-0.2659,0.9554,-,-32.5730,5.2220,-22.4730,27.0470,6.7890,-19.9950,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
531.2860,16:22:05:288,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,7,80.0000,64.0000,3.3600,88.0000,52.0000,3.2000,382.3500,387.4200,382.3500,387.4200,382.3500,387.4200,Image A,-0.0575,-0.3254,0.9438,-0.1226,-0.2642,0.9566,-,-32.5770,5.2290,-22.4730,27.0470,6.7890,-19.9950,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
547.4650,16:22:05:304,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,7,82.0000,64.0000,3.3800,88.0000,52.0000,3.2600,382.3500,387.4200,382.3500,387.4200,382.3500,387.4200,Image A,-0.0551,-0.3272,0.9434,-0.1211,-0.2691,0.9555,-,-32.5830,5.2350,-22.4730,27.0470,6.7890,-19.9950,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
564.2080,16:22:05:321,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,7,82.0000,64.0000,3.3800,88.0000,54.0000,3.2400,382.3500,387.4200,382.3500,387.4200,382.3500,387.4200,Image A,-0.0494,-0.3278,0.9434,-0.1204,-0.2673,0.9561,-,-32.5860,5.2360,-22.4690,27.0470,6.7890,-19.9950,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
581.0310,16:22:05:338,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,7,84.0000,66.0000,3.4000,88.0000,54.0000,3.3200,382.3500,387.4200,382.3500,387.4200,382.3500,387.4200,Image A,-0.0482,-0.3272,0.9437,-0.1109,-0.2749,0.9551,-,-32.5880,5.2380,-22.4670,27.0470,6.7890,-19.9950,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
597.3280,16:22:05:354,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Saccade,2,82.0000,66.0000,3.4000,86.0000,54.0000,3.2400,382.3500,387.4200,382.3500,387.4200,382.3500,387.4200,Image A,-0.0479,-0.3291,0.9431,-0.1061,-0.2689,0.9573,-,-32.5890,5.2380,-22.4640,27.0470,6.7890,-19.9950,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
614.5300,16:22:05:372,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
630.3810,16:22:05:387,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
647.6430,16:22:05:405,CustomTrial01-00,saw,0.0000,141375.8690,ulises (1),LightSeaGreen,85.7171,Eye,Visual Intake,8,80.0000,66.0000,3.4000,88.0000,56.0000,3.2800,376.0800,451.2800,376.0800,451.2800,376.0800,451.2800,Image A,-0.0211,-0.3416,0.9396,-0.0782,-0.2882,0.9544,-,-32.5920,5.2450,-22.4580,27.0470,6.7890,-19.9950,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
