RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.0000,21:07:20:565,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Information,User Event,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,saw
0.0000,21:07:20:565,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Eye,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
16.5140,21:07:20:582,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Eye,Visual Intake,10,102.0000,94.0000,4.0200,110.0000,98.0000,4.2000,317.0600,-2038.0500,317.0600,-2038.0500,317.0600,-2038.0500,-,0.0241,-0.3156,0.9486,-0.1371,-0.3111,0.9405,-,-31.7460,0.2350,-23.1150,29.7030,1.6720,-21.3800,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
33.1870,21:07:20:598,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Eye,Visual Intake,10,102.0000,96.0000,4.0200,108.0000,96.0000,4.2000,317.0600,-2038.0500,317.0600,-2038.0500,317.0600,-2038.0500,-,0.0243,-0.3129,0.9495,-0.1403,-0.3077,0.9411,-,-31.7470,0.2410,-23.1180,29.7030,1.6720,-21.3800,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
49.9260,21:07:20:615,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Eye,Visual Intake,10,100.0000,94.0000,4.0200,110.0000,98.0000,4.2000,317.0600,-2038.0500,317.0600,-2038.0500,317.0600,-2038.0500,-,0.0216,-0.3082,0.9511,-0.1389,-0.3069,0.9416,-,-31.7480,0.2450,-23.1210,29.7030,1.6720,-21.3800,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
67.1810,21:07:20:632,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Eye,Visual Intake,10,100.0000,96.0000,4.0400,108.0000,96.0000,4.1800,317.0600,-2038.0500,317.0600,-2038.0500,317.0600,-2038.0500,-,0.0195,-0.3052,0.9521,-0.1395,-0.3009,0.9434,-,-31.7480,0.2490,-23.1230,29.7030,1.6720,-21.3800,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
82.9030,21:07:20:648,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Eye,Visual Intake,10,100.0000,94.0000,4.0200,108.0000,96.0000,4.1800,317.0600,-2038.0500,317.0600,-2038.0500,317.0600,-2038.0500,-,0.0180,-0.3016,0.9533,-0.1415,-0.2963,0.9446,-,-31.7480,0.2490,-23.1230,29.7030,1.6720,-21.3800,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
99.6080,21:07:20:665,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Eye,Visual Intake,10,98.0000,92.0000,3.9400,110.0000,94.0000,4.2200,317.0600,-2038.0500,317.0600,-2038.0500,317.0600,-2038.0500,-,0.0158,-0.2994,0.9540,-0.1411,-0.2930,0.9457,-,-31.7480,0.2570,-23.1260,29.7170,1.6690,-21.3770,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
116.1650,21:07:20:681,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Eye,Visual Intake,10,100.0000,94.0000,4.0000,108.0000,96.0000,4.2200,317.0600,-2038.0500,317.0600,-2038.0500,317.0600,-2038.0500,-,0.0141,-0.2968,0.9548,-0.1445,-0.2877,0.9468,-,-31.7470,0.2660,-23.1300,29.7320,1.6640,-21.3750,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
133.8030,21:07:20:699,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Eye,Visual Intake,10,100.0000,92.0000,4.0000,108.0000,94.0000,4.2000,317.0600,-2038.0500,317.0600,-2038.0500,317.0600,-2038.0500,-,0.0135,-0.2947,0.9555,-0.1462,-0.2840,0.9476,-,-31.7460,0.2740,-23.1340,29.7470,1.6600,-21.3720,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
149.6700,21:07:20:715,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Eye,Visual Intake,10,100.0000,94.0000,4.0000,108.0000,94.0000,4.2000,317.0600,-2038.0500,317.0600,-2038.0500,317.0600,-2038.0500,-,0.0136,-0.2925,0.9562,-0.1488,-0.2819,0.9478,-,-31.7450,0.2820,-23.1370,29.7630,1.6550,-21.3710,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
165.9740,21:07:20:731,CustomTrial01-00,saw,0.0000,95639.3960,wael (1),DarkOrchid,79.9357,Eye,Visual Intake,10,98.0000,92.0000,3.9400,108.0000,92.0000,4.1800,317.0600,-2038.0500,317.0600,-2038.0500,317.0600,-2038.0500,-,0.0103,-0.2903,0.9569,-0.1495,-0.2785,0.9487,-,-31.7440,0.2890,-23.1420,29.7630,1.6550,-21.3710,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-
