analysisName,analysisId,period,viewingGap,minViewingTime,participantName,participantId,viewingCountPerAOIMean,viewingCountPerAOIMedian,viewingCountTotal,viewingDurationMean,viewingDurationMedian,viewingDurationTotal,averageConvexHullSizeSlideMean,averageConvexHullSizeSlideMedian,Hazard Fixation %,Hazard Recognition Index
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,001_wael,xZ47NHvD8oJvw4aEL,1,1,1,87607,87607,87607,5254.820934,5254.820934,0.68707483,0.3
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,002_ulises,eLmD2WutmgCji5v3T,1,1,1,129725,129725,129725,16113.49565,16113.49565,0.695238095,0.6
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,003_sravan,Rr92eZ9avGTLyKqKd,1,1,1,85085,85085,85085,20248.52379,20248.52379,0.698412698,0.6
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,004_sid,k8hTccaoe4aJTYxcX,1,1,1,72289,72289,72289,14706.31462,14706.31462,0.754385965,0.4
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,005_sara,herKCyFWKs3Qmcmc9,1,1,1,97165,97165,97165,21773.06122,21773.06122,0.691428571,0.6
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,006_nathan,9zbDbTJm7T2ENyZi6,1,1,1,60706,60706,60706,23538.75908,23538.75908,0.728971963,0.4
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,007_kyle,fTysibS2FL7dcptCB,1,1,1,97978,97978,97978,12718.3264,12718.3264,0.766666667,0.6
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,008_katie,8Lsx8ujzxzgJaQa5R,3,3,3,11622,9725,34866,NaN,27216.51023,0.786666667,0.4
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,009_joe,Tz3dmEsxnXfj235Lo,1,1,1,52640,52640,52640,22780.42806,22780.42806,0.739837398,0.6
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,010_jessica,Kt75euag5q8SsqEDv,1,1,1,72040,72040,72040,19558.03226,19558.03226,0.736842105,0.5
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,011_james,3qcqbwG9JBv6u2p7Y,1,1,1,122955,122955,122955,27980.22746,27980.22746,0.721189591,0.7
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,012_guillermo,92gyS5wGKGyLuuPBK,1,1,1,125311,125311,125311,15241.8743,15241.8743,0.764444444,0.9
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,013_gabe,rSxGTH2b9kfvK9B9o,1,1,1,69219,69219,69219,16459.60795,16459.60795,0.72815534,0.4
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,014_doug,2yHchWckbZxbMEzzk,1,1,1,104567,104567,104567,24516.48632,24516.48632,0.7875,0.8
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,015_david,ZZ3sqgQGv6mhAitNv,1,1,1,46135,46135,46135,20264.03948,20264.03948,0.732394366,0.4
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,016_brian,y6wuwXZ7ykoxkqCu5,1,1,1,54748,54748,54748,20109.37839,20109.37839,0.71,0.5
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,017_aby,rJTvBWWxbaiap39Cz,2,2,2,35307,35307,70614,NaN,NaN,0.688073394,0.5
Zero MVT,8NKYTj6nNCGgDCdnX,5000,5000,0,018_aaron,anybzN627Je3Ph6TS,1,1,1,79989,79989,79989,10664.9067,10664.9067,0.721804511,0.7
