analysisName,analysisId,period,viewingGap,minViewingTime,participantName,participantId,viewingCountPerAOIMean,viewingCountPerAOIMedian,viewingCountTotal,viewingDurationMean,viewingDurationMedian,viewingDurationTotal,averageConvexHullSizeSlideMean,averageConvexHullSizeSlideMedian,Hazard Fixation %,G1,ME1,MO1,MO2,MO3,MO4,MO5,MO6,MO7,MO8,Gravity Hazards Identified,HRI - Gravity,Mechanical Hazards Identified,HRI - Mechanical,Motion Hazards Identified,HRI - Motion,All Hazards Identified,HRI,viewingDuration,HRPS
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,001_wael,xZ47NHvD8oJvw4aEL,1,1,1,87607,87607,87607,5254.820934,5254.820934,0.68707483,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0.125,3,0.3,87607,0.034243839
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,002_ulises,eLmD2WutmgCji5v3T,1,1,1,129725,129725,129725,16113.49565,16113.49565,0.695238095,1,1,1,0,1,0,1,1,0,0,1,1,1,1,4,0.5,6,0.6,129725,0.046251686
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,003_sravan,Rr92eZ9avGTLyKqKd,1,1,1,85085,85085,85085,20248.52379,20248.52379,0.698412698,0,1,1,1,1,1,1,0,0,0,0,0,1,1,5,0.625,6,0.6,85085,0.070517718
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,004_sid,k8hTccaoe4aJTYxcX,1,1,1,72289,72289,72289,14706.31462,14706.31462,0.754385965,0,0,1,0,1,0,1,0,0,1,0,0,0,0,4,0.5,4,0.4,72289,0.055333453
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,005_sara,herKCyFWKs3Qmcmc9,1,1,1,97165,97165,97165,21773.06122,21773.06122,0.691428571,1,1,1,1,0,1,0,0,0,1,1,1,1,1,4,0.5,6,0.6,97165,0.06175063
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,006_nathan,9zbDbTJm7T2ENyZi6,1,1,1,60706,60706,60706,23538.75908,23538.75908,0.728971963,0,1,0,0,1,0,1,1,0,0,0,0,1,1,3,0.375,4,0.4,60706,0.065891345
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,007_kyle,fTysibS2FL7dcptCB,1,1,1,97978,97978,97978,12718.3264,12718.3264,0.766666667,1,1,0,0,0,1,1,1,1,0,1,1,1,1,4,0.5,6,0.6,97978,0.061238237
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,008_katie,8Lsx8ujzxzgJaQa5R,2,2,2,17134.5,17134.5,34269,22524.10935,22524.10935,0.786666667,1,1,0,0,0,1,0,0,1,0,1,1,1,1,2,0.25,4,0.4,34269,0.116723569
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,009_joe,Tz3dmEsxnXfj235Lo,1,1,1,52640,52640,52640,22780.42806,22780.42806,0.739837398,1,1,1,0,1,0,1,1,0,0,1,1,1,1,4,0.5,6,0.6,52640,0.113981763
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,010_jessica,Kt75euag5q8SsqEDv,1,1,1,72040,72040,72040,19558.03226,19558.03226,0.736842105,0,1,0,0,1,1,1,1,0,0,0,0,1,1,4,0.5,5,0.5,72040,0.069405886
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,011_james,3qcqbwG9JBv6u2p7Y,1,1,1,122955,122955,122955,27980.22746,27980.22746,0.721189591,1,1,1,0,1,1,0,1,1,0,1,1,1,1,5,0.625,7,0.7,122955,0.056931398
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,012_guillermo,92gyS5wGKGyLuuPBK,1,1,1,125311,125311,125311,15241.8743,15241.8743,0.764444444,1,1,1,1,1,1,1,1,1,0,1,1,1,1,7,0.875,9,0.9,125311,0.071821309
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,013_gabe,rSxGTH2b9kfvK9B9o,1,1,1,69219,69219,69219,16459.60795,16459.60795,0.72815534,1,0,1,0,1,0,1,0,0,0,1,1,0,0,3,0.375,4,0.4,69219,0.057787602
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,014_doug,2yHchWckbZxbMEzzk,1,1,1,104567,104567,104567,24516.48632,24516.48632,0.7875,1,1,1,1,1,1,1,1,0,0,1,1,1,1,6,0.75,8,0.8,104567,0.076505972
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,015_david,ZZ3sqgQGv6mhAitNv,1,1,1,46135,46135,46135,20264.03948,20264.03948,0.732394366,0,1,1,0,1,1,0,0,0,0,0,0,1,1,3,0.375,4,0.4,46135,0.08670207
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,016_brian,y6wuwXZ7ykoxkqCu5,1,1,1,54748,54748,54748,20109.37839,20109.37839,0.71,0,1,1,1,0,1,1,0,0,0,0,0,1,1,4,0.5,5,0.5,54748,0.091327537
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,017_aby,rJTvBWWxbaiap39Cz,1,1,1,69850,69850,69850,16620.53157,16620.53157,0.688073394,1,1,1,0,0,0,0,1,1,0,1,1,1,1,3,0.375,5,0.5,69850,0.071581961
5 Sec MVT,52NzzdH8bPiteJsn9,5000,5000,5000,018_aaron,anybzN627Je3Ph6TS,1,1,1,79989,79989,79989,10664.9067,10664.9067,0.721804511,1,1,1,1,1,1,1,0,0,0,1,1,1,1,5,0.625,7,0.7,79989,0.087512033
