Name,# Errors,Age,Card Rotation Score, Composite Spatial Cognition Score,Cube Comparison Score,Direct Work %,Engineering Drawings Training,Indirect Work %,Rework %,Total Time,Work Experience
Participant 01,2,26,26,43.14285714,6,26.5060241,no,54.21686747,19.27710843,2490,8
Participant 02,2,25,33,61.57142857,10,34.69387755,yes,62.24489796,3.06122449,2917,5
Participant 03,2,36,35,66.42857143,11,54.54545455,yes,40,5.454545455,1634,10
Participant 04,0,46,40,71.42857143,11,61.81818182,yes,38.18181818,0,1648,26
Participant 05,1,22,39,50.42857143,4,65.38461538,no,28.84615385,5.769230769,1565,4
Participant 06,0,60,28,33.71428571,2,40.29850746,no,49.25373134,10.44776119,2012,39
Participant 07,2,32,36,41.71428571,2,39.18918919,no,47.2972973,13.51351351,2220,4
Participant 08,0,23,35,72.14285714,13,58.73015873,yes,33.33333333,7.936507937,1892,7
Participant 09,0,30,32,66.28571429,12,53.84615385,yes,35.8974359,10.25641026,2337,11
Participant 10,4,28,27,47,7,29.59183673,yes,53.06122449,17.34693878,2921,4
Participant 11,3,24,23,37.28571429,5,39.68253968,no,47.61904762,12.6984127,4314,1
Participant 12,0,23,40,80,14,71.11111111,no,26.66666667,2.222222222,1334,2
Participant 13,2,25,26,31.71428571,2,39.65517241,no,50.86206897,9.482758621,3488,1
Participant 14,2,20,15,9.285714286,-2,39.82300885,no,46.01769912,14.15929204,3371,2
Participant 15,0,41,35,63.57142857,10,67.9245283,no,28.30188679,3.773584906,1584,14
Participant 16,0,38,26,26,0,58.10810811,yes,36.48648649,5.405405405,2217,18
Participant 17,0,36,35,69.28571429,12,53.84615385,yes,44.61538462,1.538461538,1942,15
Participant 18,0,45,22,56.28571429,12,51.52,yes,40.4,8.08,2787,20
Participant 19,2,53,24,18.28571429,-2,38.59649123,no,48.24561404,13.15789474,3420,6
Participant 20,2,52,27,55.57142857,10,40.43,no,45.74,13.83,2574,30
