analysisName,analysisId,period,viewingGap,minViewingTime,participantName,participantId,viewingCountPerAOIMean,viewingCountPerAOIMedian,viewingCountTotal,viewingDurationMean,viewingDurationMedian,viewingDurationTotal,averageConvexHullSizeSlideMean,averageConvexHullSizeSlideMedian,# Errors Made,Age,Card Rotation Score,Composite Spatial Cognition Score,Cube Comparison Score,Direct Work %,Engineering Drawings Training,Indirect Work %,Rework %,Total Time,Work Experience
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 01,socxYwqSAXH7XFA2t,2.2,1,22,44975.645454545454,35746.84999999999,989464.2000000001,59376.682720906494,48040.21318252156,2,26,26,43.1428571429,6,26.5060240964,0,54.2168674699,19.2771084337,2490,8
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 02,o748uJ8rHgBN2jxy4,1.2,1,12,117808.43333333333,88113.95000000001,1413701.2,36754.590011322645,37051.27515718897,2,25,33,61.5714285714,10,34.6938775510,1,62.2448979592,3.0612244898,2917,5
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 03,XTeKzwRPxxAdm4F75,1,1,10,64256.89999999999,62887.15000000001,642568.9999999999,34132.18837686446,29384.465119520723,2,36,35,66.4285714286,11,54.5454545455,1,40.0000000000,5.4545454545,1634,10
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 04,nCxvfW38FaRa278h9,3.75,3.5,30,19516.783333333333,16628.700000000004,585503.5,33417.02769585557,30234.04946442703,0,46,40,71.4285714286,11,61.8181818182,1,38.1818181818,0.0000000000,1648,26
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 05,cDfYHMEc8o4xY96up,2.2,2,22,18178.75909090909,18786.25,399932.7,39998.65607597353,28127.255321086486,1,22,39,50.4285714286,4,65.3846153846,0,28.8461538462,5.7692307692,1565,4
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 06,hs9RqjN8RHwfrcGvY,3,2,24,25357.037500000002,21856.35,608568.9,49253.65804113421,23205.741560756782,0,60,28,33.7142857143,2,40.2985074627,0,49.2537313433,10.4477611940,2012,39
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 07,ncfufzH46xAPNzY6c,4.5,4,45,21155.757777777773,17575,952009.0999999999,41322.14390490038,32381.41502574976,2,32,36,41.7142857143,2,39.1891891892,0,47.2972972973,13.5135135135,2220,4
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 08,s6DpEa4LmixupF62k,3.125,2.5,25,17897.636000000002,14138.799999999988,447440.9,44571.933720440284,42133.617031398666,0,23,35,72.1428571429,13,58.7301587302,1,33.3333333333,7.9365079365,1892,7
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 09,bNutbejXw999TZ6wg,3.111111111111111,3,28,18247.178571428572,14462.800000000017,510921,56122.39612023328,42399.548313870095,0,30,32,66.2857142857,12,53.8461538462,1,35.8974358974,10.2564102564,2337,11
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 10,cenpkv4etgT6j2bLb,4.5,4,45,23370.328888888886,19134.09999999999,1051664.7999999998,50720.53761399086,32990.645037690876,4,28,27,47.0000000000,7,29.5918367347,1,53.0612244898,17.3469387755,2921,4
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 11,bSnQQoNBBJjhBrGRG,7.4,7.5,74,18736.7527027027,16636.850000000006,1386519.6999999997,58280.24911715284,44947.71172778321,3,24,23,37.2857142857,5,39.6825396825,0,47.6190476190,12.6984126984,4314,1
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 12,YkXbAgsyykXz36EJo,1.2857142857142858,1,9,12594.099999999999,12214.5,113346.9,39768.29830334257,19957.330489847987,0,23,40,80.0000000000,14,71.1111111111,0,26.6666666667,2.2222222222,1334,2
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 13,ywfSnpWEDbKWgv2p7,4.7,4,47,26228.40638297873,18487.5,1232735.1000000003,36726.65406836111,21886.562417006073,2,25,26,31.7142857143,2,39.6551724138,0,50.8620689655,9.4827586207,3488,1
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 14,r4DDDkCnYixMS5WwP,4.5,4,45,17479.32444444445,14835.899999999994,786569.6000000002,29863.724565716224,20518.988440323883,2,20,15,9.2857142857,-2,39.8230088496,0,46.0176991150,14.1592920354,3371,2
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 15,QyyyE6PPi4EJCF7Nk,2.7,3,27,20854.211111111104,15881.699999999997,563063.6999999998,41227.9305313358,21977.853550643704,0,41,35,63.5714285714,10,67.9245283019,0,28.3018867925,3.7735849057,1584,14
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 16,Cybb6gcZRY8vHSYta,3.25,3,26,21799.846153846152,17781.75,566796,46061.10010814751,34749.566452664025,0,38,26,26.0000000000,0,58.1081081081,1,36.4864864865,5.4054054054,2217,18
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 17,YN7f3HX7M5BYsKkck,3.7,4,37,20843.775675675683,18204.8,771219.7000000003,48059.9560000214,37328.76885073299,0,36,35,69.2857142857,12,53.8461538462,1,44.6153846154,1.5384615385,1942,15
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 18,Mr95wrdKHDWBjqGWx,3.9,4,39,19714.423076923078,15798.599999999999,768862.5,28082.26837253548,19498.21201114854,0,45,22,56.2857142857,12,51.5200000000,1,40.4000000000,8.0800000000,2787,20
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 19,vrQKQCPHFeWkwfeEF,5,4.5,50,20014.062000000005,16280.100000000002,1000703.1000000002,49212.29627182674,34790.824466466234,2,53,24,18.2857142857,-2,38.5964912281,0,48.2456140351,13.1578947368,3420,6
10 second period 3 second gap,3Gc8oJJjTotctqSq4,10000,3000,10000,Participant 20,dAAfxysxrGtEwHrug,3.1,3,31,16649.83870967742,13956.599999999999,516145.00000000006,46131.244439309354,42508.52733700237,2,52,27,55.5714285714,10,40.4300000000,0,45.7400000000,13.8300000000,2574,30
