analysisName,analysisId,period,viewingGap,minViewingTime,participantName,participantId,viewingCountPerAOIMean,viewingCountPerAOIMedian,viewingCountTotal,viewingDurationMean,viewingDurationMedian,viewingDurationTotal,averageConvexHullSizeSlideMean,averageConvexHullSizeSlideMedian,# Errors Made,Age,Card Rotation Score,Composite Spatial Cognition Score,Cube Comparison Score,Direct Work %,Engineering Drawings Training,Indirect Work %,Rework %,Total Time,Work Experience
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 01,socxYwqSAXH7XFA2t,1.9,1,19,56398.85263,45802.8,1071578.2,34319.24256,26289.13058,2,26,26,43.14285714,6,26.5060241,0,54.21686747,19.27710843,2490,8
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 02,o748uJ8rHgBN2jxy4,1.1,1,11,128795.8818,117975.5,1416754.7,28575.95565,29872.03807,2,25,33,61.57142857,10,34.69387755,1,62.24489796,3.06122449,2917,5
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 03,XTeKzwRPxxAdm4F75,1,1,10,64256.9,62887.15,642569,25113.6696,27023.88393,2,36,35,66.42857143,11,54.54545455,1,40,5.454545455,1634,10
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 04,nCxvfW38FaRa278h9,3.444444444,3,31,29222.76452,29262.9,905905.7,23487.08032,16848.47346,0,46,40,71.42857143,11,61.81818182,1,38.18181818,0,1648,26
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 05,cDfYHMEc8o4xY96up,2.5,2,25,28976.136,21059.8,724403.4,21075.80725,19380.18103,1,22,39,50.42857143,4,65.38461538,0,28.84615385,5.769230769,1565,4
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 06,hs9RqjN8RHwfrcGvY,3.2,3,32,28617.61875,21690.4,915763.8,24526.11213,15127.9471,0,60,28,33.71428571,2,40.29850746,0,49.25373134,10.44776119,2012,39
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 07,ncfufzH46xAPNzY6c,4.7,5,47,29366.32766,20595.3,1380217.4,22715.92334,17297.51969,2,32,36,41.71428571,2,39.18918919,0,47.2972973,13.51351351,2220,4
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 08,s6DpEa4LmixupF62k,3.555555556,4,32,19092.87188,15591.65,610971.9,21108.68043,15288.34345,0,23,35,72.14285714,13,58.73015873,1,33.33333333,7.936507937,1892,7
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 09,bNutbejXw999TZ6wg,3.7,3,37,22031.95405,22071.8,815182.3,31460.8678,26136.73302,0,30,32,66.28571429,12,53.84615385,1,35.8974359,10.25641026,2337,11
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 10,cenpkv4etgT6j2bLb,3.6,3,36,43949.59444,39364.65,1582185.4,35631.64813,31894.93794,4,28,27,47,7,29.59183673,1,53.06122449,17.34693878,2921,4
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 11,bSnQQoNBBJjhBrGRG,7.1,7,71,26246.27887,19499.2,1863485.8,34716.74895,29718.71898,3,24,23,37.28571429,5,39.68253968,0,47.61904762,12.6984127,4314,1
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 12,YkXbAgsyykXz36EJo,2.333333333,2,21,16305.3381,14421.1,342412.1,26669.36368,18778.37766,0,23,40,80,14,71.11111111,0,26.66666667,2.222222222,1334,2
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 13,ywfSnpWEDbKWgv2p7,4.8,5,48,32967.34583,22553.1,1582432.6,22457.21502,15652.57429,2,25,26,31.71428571,2,39.65517241,0,50.86206897,9.482758621,3488,1
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 14,r4DDDkCnYixMS5WwP,4.7,4,47,25722.8,21740.5,1208971.6,20676.10212,13881.92056,2,20,15,9.285714286,-2,39.82300885,0,46.01769912,14.15929204,3371,2
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 15,QyyyE6PPi4EJCF7Nk,2.9,2.5,29,28717.45517,23084.7,832806.2,20151.0757,12034.643,0,41,35,63.57142857,10,67.9245283,0,28.30188679,3.773584906,1584,14
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 16,Cybb6gcZRY8vHSYta,3.222222222,4,29,29311.94483,19051.5,850046.4,27953.81659,17751.65407,0,38,26,26,0,58.10810811,1,36.48648649,5.405405405,2217,18
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 17,YN7f3HX7M5BYsKkck,3.4,3,34,35288.51765,28767.85,1199809.6,30031.64553,26906.73139,0,36,35,69.28571429,12,53.84615385,1,44.61538462,1.538461539,1942,15
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 18,Mr95wrdKHDWBjqGWx,4.6,4,46,26078.08913,18586.75,1199592.1,15552.76069,13278.60585,0,45,22,56.28571429,12,51.52,1,40.4,8.08,2787,20
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 19,vrQKQCPHFeWkwfeEF,5.2,5,52,30460.10962,27166.4,1583925.7,25719.55328,20780.25133,2,53,24,18.28571429,-2,38.59649123,0,48.24561404,13.15789474,3420,6
5 Second Period,djahD928EdiNZyEed,5000,5000,10000,Participant 20,dAAfxysxrGtEwHrug,3.7,3.5,37,22298.6973,18553.7,825051.8,23806.3912,23257.26349,2,52,27,55.57142857,10,40.43,0,45.74,13.83,2574,30
