analysisName,analysisId,period,viewingGap,minViewingTime,participantName,participantId,viewingCountPerAOIMean,viewingCountPerAOIMedian,viewingCountTotal,viewingDurationMean,viewingDurationMedian,viewingDurationTotal,averageConvexHullSizeSlideMean,averageConvexHullSizeSlideMedian,# Errors,Age,Card Rotation Score,Composite Spatial Cognition Score,Cube Comparison Score,Direct Work %,Engineering Drawings Training,Indirect Work %,Rework %,Total Time,Work Experience
5 Second Period,8udZaauRQNKrwrMTM,5000,5000,10000,Participant 01,WcbHwDvahWhoGe2gb,1.9,1,19,56398.85263157896,45802.8,1071578.2000000002,34319.242562687774,26289.130580122648,2,26,26,43.1428571429,6,26.5060240964,0,54.2168674699,19.2771084337,2490,8
5 Second Period,8udZaauRQNKrwrMTM,5000,5000,10000,Participant 02,cmBXKXq3KXBDQ8szM,1.1,1,11,128795.88181818182,117975.5,1416754.7,28575.95564599527,29872.038068715432,2,25,33,61.5714285714,10,34.6938775510,1,62.2448979592,3.0612244898,2917,5
5 Second Period,8udZaauRQNKrwrMTM,5000,5000,10000,Participant 03,kvTK6BgBZDQMwEB4z,1,1,10,64256.89999999999,62887.15000000001,642568.9999999999,25113.66960476357,27023.883930919634,2,36,35,66.4285714286,11,54.5454545455,1,40,5.4545454545,1634,10
5 Second Period,8udZaauRQNKrwrMTM,5000,5000,10000,Participant 04,hT4D4F7bmB2RhHCmQ,3.4444444444444446,3,31,29222.76451612903,29262.899999999994,905905.7,23487.080321054167,16848.47346382278,0,46,40,71.4285714286,11,61.8181818182,1,38.1818181818,0,1648,26
5 Second Period,8udZaauRQNKrwrMTM,5000,5000,10000,Participant 05,Tq5BC9yM3Kd9ctNju,2.5,2,25,28976.136000000002,21059.800000000003,724403.4,21075.807253482202,19380.18102557252,1,22,39,50.4285714286,4,65.3846153846,0,28.8461538462,5.7692307692,1565,4
5 Second Period,8udZaauRQNKrwrMTM,5000,5000,10000,Participant 06,hwWDJvXGeKA5Tv2Kb,3.2,3,32,28617.61875000001,21690.4,915763.8000000003,24526.112129731653,15127.947100019665,0,60,28,33.7142857143,2,40.2985074627,0,49.2537313433,10.4477611940,2012,39
5 Second Period,8udZaauRQNKrwrMTM,5000,5000,10000,Participant 07,fGBNqYMCasWZWfug6,4.7,5,47,29366.327659574476,20595.300000000003,1380217.4000000004,22715.92333834462,17297.51968995474,2,32,36,41.7142857143,2,39.1891891892,0,47.2972972973,13.5135135135,2220,4
5 Second Period,8udZaauRQNKrwrMTM,5000,5000,10000,Participant 08,zZqw2cuidnzbxXTuP,3.5555555555555554,4,32,19092.871875,15591.649999999994,610971.9,21108.68043457722,15288.343452074534,0,23,35,72.1428571429,13,58.7301587302,1,33.3333333333,7.9365079365,1892,7
5 Second Period,8udZaauRQNKrwrMTM,5000,5000,10000,Participant 09,GayvpJHEDwrbCKNda,3.7,3,37,22031.954054054055,22071.79999999999,815182.3,31460.867803576137,26136.73301542417,0,30,32,66.2857142857,12,53.8461538462,1,35.8974358974,10.2564102564,2337,11
5 Second Period,8udZaauRQNKrwrMTM,5000,5000,10000,Participant 10,MBfk2YPvMAA3hXbzS,3.6,3,36,43949.59444444443,39364.649999999994,1582185.3999999994,35631.64812880536,31894.937935072223,4,28,27,47,7,29.5918367347,1,53.0612244898,17.3469387755,2921,4
5 Second Period,8udZaauRQNKrwrMTM,5000,5000,10000,Participant 11,xBgtHdSK2NbywEe4J,7.1,7,71,26246.278873239444,19499.199999999997,1863485.8000000005,34716.748953202696,29718.718979766763,3,24,23,37.2857142857,5,39.6825396825,0,47.6190476190,12.6984126984,4314,1
