analysisName,analysisId,period,viewingGap,minViewingTime,participantName,participantId,viewingCountPerAOIMean,viewingCountPerAOIMedian,viewingCountTotal,viewingDurationMean,viewingDurationMedian,viewingDurationTotal,averageConvexHullSizeSlideMean,averageConvexHullSizeSlideMedian,# Errors,Age,Card Rotation Score,Composite Spatial Cognition Score,Cube Comparison Score,Direct Work %,Engineering Drawings Training,Indirect Work %,Rework %,Total Time,Work Experience
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 01,WcbHwDvahWhoGe2gb,2.4,1,24,45498.25416666668,39752.55,1091958.1000000003,NaN,34142.37711801968,2,26,26,43.1428571429,6,26.5060240964,0,54.2168674699,19.2771084337,2490,8
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 02,cmBXKXq3KXBDQ8szM,1.2,1,12,118445.95,110217.55,1421351.4,NaN,30190.215219276633,2,25,33,61.5714285714,10,34.6938775510,1,62.2448979592,3.0612244898,2917,5
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 03,kvTK6BgBZDQMwEB4z,1.1,1,11,58546.52727272727,60156.700000000004,644011.7999999999,NaN,27643.280329706304,2,36,35,66.4285714286,11,54.5454545455,1,40,5.4545454545,1634,10
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 04,hT4D4F7bmB2RhHCmQ,7.7,7,77,13818.983116883119,6438.8,1064061.7000000002,NaN,45257.19493485117,0,46,40,71.4285714286,11,61.8181818182,1,38.1818181818,0,1648,26
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 05,Tq5BC9yM3Kd9ctNju,4.9,3.5,49,16751.842857142863,10488.399999999994,820840.3000000003,NaN,30668.454432010305,1,22,39,50.4285714286,4,65.3846153846,0,28.8461538462,5.7692307692,1565,4
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 06,hwWDJvXGeKA5Tv2Kb,7.1,8,71,15260.971830985918,8513.5,1083529.0000000002,NaN,25247.798077999978,0,60,28,33.7142857143,2,40.2985074627,0,49.2537313433,10.4477611940,2012,39
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 07,fGBNqYMCasWZWfug6,7.7,7.5,77,19786.828571428574,13159.899999999994,1523585.8000000003,NaN,20789.57572923653,2,32,36,41.7142857143,2,39.1891891892,0,47.2972972973,13.5135135135,2220,4
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 08,zZqw2cuidnzbxXTuP,8.9,8.5,89,9804.99775280899,7185.6,872644.8,NaN,32431.402753469647,0,23,35,72.1428571429,13,58.7301587302,1,33.3333333333,7.9365079365,1892,7
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 09,GayvpJHEDwrbCKNda,9.2,10,92,10888.205434782607,6688.449999999997,1001714.8999999999,NaN,60418.354339001555,0,30,32,66.2857142857,12,53.8461538462,1,35.8974358974,10.2564102564,2337,11
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 10,MBfk2YPvMAA3hXbzS,4.8,4,48,33963.11458333333,26145.450000000004,1630229.4999999998,NaN,33771.4678041533,4,28,27,47,7,29.5918367347,1,53.0612244898,17.3469387755,2921,4
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 11,xBgtHdSK2NbywEe4J,14.1,14,141,15323.111347517732,10090,2160558.7,NaN,41212.37348825763,3,24,23,37.2857142857,5,39.6825396825,0,47.6190476190,12.6984126984,4314,1
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 12,FiupdQTmydEDqPfpB,6.1,7,61,7784.552459016395,5177.499999999993,474857.70000000007,NaN,73285.9598508298,0,23,40,80,14,71.1111111111,0,26.6666666667,2.2222222222,1334,2
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 13,BpsjkEMLT6w3bPFZL,10.9,9.5,109,16870.953211009186,8480.199999999997,1838933.900000001,NaN,27984.297060458488,2,25,26,31.7142857143,2,39.6551724138,0,50.8620689655,9.4827586207,3488,1
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 14,aT7rrFGuxCXGQmLby,12.7,13,127,12214.17716535433,7335.800000000003,1551200.4999999998,NaN,32439.592692917984,2,20,15,9.2857142857,-2,39.8230088496,0,46.0176991150,14.1592920354,3371,2
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 15,FH3DEEirAagujgiv2,5.7,6,57,16427.975438596495,11019.4,936394.6000000002,NaN,18668.749119228538,0,41,35,63.5714285714,10,67.9245283019,0,28.3018867925,3.7735849057,1584,14
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 16,FJa3Pr5znwFPxnDAa,8.1,8,81,12823.150617283949,6240,1038675.1999999998,NaN,64967.68995570284,0,38,26,26,0,58.1081081081,1,36.4864864865,5.4054054054,2217,18
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 17,tMSkzy3JLX5HqQomi,5.4,5,54,24579.568518518518,18586.5,1327296.7,NaN,29390.643250629077,0,36,35,69.2857142857,12,53.8461538462,1,44.6153846154,1.5384615385,1942,15
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 18,4JGpvzsDRvamHa5NA,10.7,10,107,13442.970093457947,8762.699999999983,1438397.8000000003,NaN,23192.415029663363,0,45,22,56.2857142857,12,51.5200000000,1,40.4000000000,8.0800000000,2787,20
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 19,8GyeYReTXRMbu3dHG,12.1,12,121,15296.480991735534,7982.200000000012,1850874.1999999997,NaN,37381.81823703798,2,53,24,18.2857142857,-2,38.5964912281,0,48.2456140351,13.1578947368,3420,6
Zero Minimum Viewing Time,jWDT9youKJ2MsKKeo,5000,5000,0,Participant 20,umDxwRStk9DcusBkR,9.2,8.5,92,11575.991304347828,7335.25,1064991.2000000002,NaN,41943.47846935028,2,52,27,55.5714285714,10,40.4300000000,0,45.7400000000,13.8300000000,2574,30
