"i","t"
0,"0.0000"
1,"199.3270"
2,"215.7250"
3,"232.5500"
4,"663.7300"
5,"680.3640"
6,"697.0700"
7,"713.4940"
8,"730.0820"
9,"746.8260"
10,"763.5130"
11,"779.9110"
12,"796.4820"
13,"813.1490"
14,"829.9120"
15,"846.7300"
16,"863.3670"
17,"879.6940"
18,"896.3240"
19,"912.8000"
20,"929.3540"
21,"946.1250"
22,"962.5690"
23,"979.2390"
24,"995.6090"
25,"1012.3150"
26,"1028.8770"
27,"1045.5880"
28,"1062.1810"
29,"1078.7850"
30,"1095.4040"
31,"1112.0590"
32,"1128.4530"
33,"1144.9880"
34,"1162.2790"
35,"1178.2580"
36,"1195.2380"
37,"1211.8480"
38,"1228.2120"
39,"1245.0190"
40,"1261.3770"
41,"1277.8650"
42,"1294.4390"
43,"1311.2320"
44,"1327.6460"
45,"1344.1700"
46,"1360.9670"
47,"1377.8150"
48,"1394.1330"
49,"1410.7540"
50,"1427.4160"
51,"1443.8180"
52,"1460.4730"
53,"1477.0280"
54,"1493.5530"
55,"1510.3470"
56,"1526.7360"
57,"1543.6210"
58,"1559.9580"
59,"1576.5130"
60,"1593.4210"
61,"1609.8260"
62,"1626.4620"
63,"1643.2210"
64,"1659.6040"
65,"1676.2690"
66,"1692.8000"
67,"1709.4310"
68,"1725.9090"
69,"1742.4930"
70,"1759.5520"
71,"1776.2780"
72,"1792.3520"
73,"1809.0260"
74,"1825.6560"
75,"1842.1120"
76,"1858.7020"
77,"1875.3880"
78,"1891.9420"
79,"1908.4210"
80,"1924.9480"
81,"1941.6120"
82,"1958.2280"
83,"1974.7830"
84,"1991.4370"
85,"2008.0030"
86,"2024.6690"
87,"2041.2040"
88,"2057.8040"
89,"2074.5210"
90,"2091.1260"
91,"2107.5900"
92,"2124.2250"
93,"2140.7430"
94,"2157.4930"
95,"2174.0000"
96,"2190.5190"
97,"2207.1900"
98,"2223.8390"
99,"2240.4890"
100,"2256.9500"
101,"2273.6040"
102,"2290.2540"
103,"2306.7640"
104,"2323.4840"
105,"2339.9010"
106,"2356.5630"
107,"2373.5900"
108,"2389.7520"
109,"2406.3490"
110,"2423.1070"
111,"2439.5040"
112,"2456.6820"
113,"2472.6200"
114,"2489.3210"
115,"2505.8690"
116,"2522.4880"
117,"2539.3700"
118,"2555.8260"
119,"2572.4370"
120,"2588.8530"
121,"2605.4510"
122,"2622.1220"
123,"2638.6310"
124,"2655.5790"
125,"2672.0840"
126,"2688.4240"
127,"2705.0640"
128,"2721.6510"
129,"2739.1900"
130,"2755.1740"
131,"2771.3850"
132,"2788.1080"
133,"2805.0790"
134,"2821.2120"
135,"2837.8120"
136,"2854.4200"
137,"2871.7580"
138,"2887.5880"
139,"2904.1290"
140,"2920.9670"
141,"2937.3640"
142,"2954.1370"
143,"2970.5320"
144,"2987.4110"
145,"3119.8670"
146,"3136.5030"
147,"3153.1400"
148,"3169.6370"
149,"3186.3660"
150,"3203.1720"
151,"3219.5600"
152,"3235.9620"
153,"3252.6830"
154,"3269.3200"
155,"3285.9280"
156,"3303.1470"
157,"3319.1330"
158,"3335.5760"
159,"3352.4080"
160,"3368.8350"
161,"3385.4410"
162,"3402.2180"
163,"3418.6820"
164,"3435.3030"
165,"3452.9430"
166,"3468.4690"
167,"3485.1290"
168,"3501.6490"
169,"3518.1300"
170,"3534.7250"
171,"3551.4720"
172,"3568.0000"
173,"3584.4920"
174,"3601.1820"
175,"3617.8530"
176,"3634.3790"
177,"3650.8600"
178,"3667.4680"
179,"3684.2270"
180,"3700.8140"
181,"3717.3510"
182,"3733.8740"
183,"3750.5460"
184,"3767.2280"
185,"3783.8530"
186,"3800.4740"
187,"3817.0760"
188,"3833.5510"
189,"3850.0850"
190,"3866.7340"
191,"3883.3830"
192,"3899.8880"
193,"3916.4870"
194,"3933.0900"
195,"3949.6830"
196,"3966.4170"
197,"3982.9060"
198,"3999.4900"
199,"4016.1070"
200,"4032.6030"
201,"4049.2550"
202,"4065.8940"
203,"4082.5010"
204,"4099.1250"
205,"4115.6610"
206,"4132.2520"
207,"4149.2980"
208,"4165.4930"
209,"4182.0160"
210,"4198.7670"
211,"4215.3690"
212,"4231.7760"
213,"4248.3870"
214,"4264.9720"
215,"4281.6700"
216,"4298.0760"
217,"4315.1000"
218,"4331.4390"
219,"4348.0290"
220,"4364.5290"
221,"4381.3620"
222,"4397.7190"
223,"4414.3400"
224,"4431.0460"
225,"4447.4420"
226,"4464.3440"
227,"4480.7920"
228,"4497.4260"
229,"4513.9300"
230,"4530.5230"
231,"4547.2940"
232,"4563.6550"
233,"4580.2760"
234,"4596.8750"
235,"4613.5990"
236,"4630.0810"
237,"4646.6710"
238,"4663.3580"
239,"4679.9780"
240,"4696.5810"
241,"4712.9910"
242,"4729.6380"
243,"4746.3580"
244,"4762.8930"
245,"4779.4130"
246,"4795.9980"
247,"4812.9060"
248,"4829.2220"
249,"4846.0380"
250,"4862.5060"
251,"4879.1750"
252,"4895.5770"
253,"4912.2510"
254,"4928.8250"
255,"4945.4990"
256,"5476.8060"
257,"5493.2620"
258,"5509.6280"
259,"5526.2460"
260,"5543.2570"
261,"5559.4500"
262,"5576.1560"
263,"5592.6050"
264,"5609.8210"
265,"5626.1610"
266,"5642.6680"
267,"5659.4520"
268,"5675.6320"
269,"5692.2770"
270,"5708.7510"
271,"5725.4090"
272,"5742.0840"
273,"5758.6400"
274,"5775.3000"
275,"5791.7240"
276,"5808.8680"
277,"5824.9290"
278,"5841.5090"
279,"5858.3900"
280,"5875.1110"
281,"5891.4340"
282,"5907.8870"
283,"5924.4950"
284,"5941.1820"
285,"5957.7650"
286,"5974.6560"
287,"5990.8900"
288,"6008.5490"
289,"6024.1290"
290,"6040.7250"
291,"6057.2330"
292,"6073.9160"
293,"6090.5140"
294,"6107.2250"
295,"6123.7420"
296,"6140.3270"
297,"6156.9010"
298,"6173.4110"
299,"6189.9780"
300,"6206.8780"
301,"6223.3860"
302,"6239.7900"
303,"6256.4450"
304,"6273.1670"
305,"6289.8590"
306,"6306.2850"
307,"6322.8770"
308,"6339.6190"
309,"6356.0950"
310,"6372.7990"
311,"6389.1380"
312,"6405.8850"
313,"6422.4150"
314,"6439.7350"
315,"6455.4990"
316,"6472.2570"
317,"6488.8040"
318,"6505.2930"
319,"6522.1130"
320,"6538.6540"
321,"6555.1950"
322,"6572.0440"
323,"6588.4940"
324,"6605.1330"
325,"6621.7550"
326,"6638.1230"
327,"6654.7890"
328,"6671.7900"
329,"6688.3860"
330,"6704.5220"
331,"6721.6420"
332,"6737.9200"
333,"6754.2460"
334,"6770.9060"
335,"6787.4450"
336,"6804.0870"
337,"6820.6840"
338,"6837.2620"
339,"6853.8300"
340,"6870.4370"
341,"6887.1440"
342,"6903.7060"
343,"6920.2470"
344,"6936.9160"
345,"6953.4880"
346,"6970.0300"
347,"6986.5930"
348,"7003.5940"
349,"7020.0280"
350,"7036.3580"
351,"7053.1510"
352,"7069.6290"
353,"7086.1930"
354,"7102.7120"
355,"7119.7620"
356,"7136.6270"
357,"7152.5700"
358,"7169.3730"
359,"7185.7660"
360,"7202.4060"
361,"7219.4500"
362,"7235.6080"
363,"7252.2210"
364,"7268.8930"
365,"7285.5160"
366,"7301.8480"
367,"7318.4620"
368,"7335.3940"
369,"7351.7570"
370,"7369.1510"
371,"7385.3880"
372,"7401.5300"
373,"7418.1790"
374,"7434.6620"
375,"7451.3060"
376,"7468.1290"
377,"7484.4580"
378,"7501.0040"
379,"7517.8080"
380,"7534.7670"
381,"7550.8720"
382,"7567.4160"
383,"7584.6920"
384,"7601.5400"
385,"7617.2490"
386,"7633.8040"
387,"7650.3900"
388,"7667.1800"
389,"7683.5820"
390,"7700.2630"
391,"7716.8180"
392,"7733.4220"
393,"7749.9530"
394,"7766.6540"
395,"7783.2630"
396,"7799.8770"
397,"7816.6100"
398,"7833.0980"
399,"7849.6670"
400,"7866.1700"
401,"7883.1040"
402,"7899.4930"
403,"7915.9510"
404,"7932.5460"
405,"7949.1660"
406,"7965.7340"
407,"7982.4250"
408,"7999.0980"
409,"8015.6250"
410,"8032.1960"
411,"8048.7370"
412,"8065.9360"
413,"8081.9330"
414,"8098.4610"
415,"8115.1880"
416,"8131.6450"
417,"8148.2410"
418,"8164.9260"
419,"8181.5930"
420,"8198.1340"
421,"8214.6580"
422,"8231.4310"
423,"8247.9110"
424,"8264.4940"
425,"8281.0520"
426,"8297.6580"
427,"8314.2460"
428,"8330.9120"
429,"8347.3920"
430,"8364.0170"
431,"8380.6900"
432,"8397.6380"
433,"8629.5240"
434,"8646.1330"
435,"8662.9020"
436,"8679.4840"
437,"8695.8830"
438,"8712.4740"
439,"8729.2550"
440,"8746.0840"
441,"8762.3870"
442,"8779.0950"
443,"8795.5390"
444,"8812.2660"
445,"8829.5040"
446,"8845.2530"
447,"8862.0080"
448,"8878.6010"
449,"8895.4870"
450,"8911.6930"
451,"9094.2480"
452,"9110.8460"
453,"9409.7670"
454,"9426.1800"
455,"9442.7470"
456,"9724.9510"
457,"9741.3650"
458,"9758.0130"
459,"9774.6980"
460,"9957.1390"
461,"9973.7330"
462,"9990.4480"
463,"10189.5490"
464,"10206.0900"
465,"10222.6980"
466,"10355.4430"
467,"10488.3530"
468,"10721.1180"
469,"10737.1500"
470,"10753.7760"
471,"10770.3660"
472,"10787.1500"
473,"10803.8000"
474,"10820.1450"
475,"10836.7460"
476,"10853.4180"
477,"10869.9200"
478,"10886.4990"
479,"10903.2020"
480,"10919.7900"
481,"10936.2900"
482,"10952.8690"
483,"10969.4820"
484,"10986.1790"
485,"11002.6810"
486,"11019.3320"
487,"11334.8650"
488,"11351.2680"
489,"11617.0260"
490,"11633.3360"
491,"11650.5400"
492,"11667.6690"
493,"11683.3680"
494,"11699.7120"
495,"11716.3390"
496,"11732.9680"
497,"11749.4590"
498,"11766.3780"
499,"11783.1740"
500,"11799.2940"
501,"11815.8670"
502,"11832.6370"
503,"11849.0520"
504,"11865.6730"
505,"11882.4840"
506,"11898.8430"
507,"11915.6410"
508,"11932.2540"
509,"11948.5890"
510,"11965.2330"
511,"11981.8600"
512,"11998.4170"
513,"12015.1100"
514,"12031.5700"
515,"12048.3150"
516,"12064.8930"
517,"12081.5300"
518,"12097.9710"
519,"12115.3380"
520,"12131.1630"
521,"12147.6900"
522,"12164.4340"
523,"12181.4980"
524,"12198.5490"
525,"12214.2490"
526,"12230.7470"
527,"12247.8990"
528,"12263.9600"
529,"12280.7570"
530,"12297.1680"
531,"12313.7770"
532,"12330.9000"
533,"12346.8900"
534,"12363.7660"
535,"12380.3440"
536,"12396.6800"
537,"12413.3510"
538,"12429.8060"
539,"12446.7720"
540,"12463.2360"
541,"12479.7100"
542,"12496.3570"
543,"12513.0070"
544,"12529.5550"
545,"12546.0240"
546,"12562.7000"
547,"12580.4050"
548,"12596.8560"
549,"12612.4860"
550,"12629.0610"
551,"12645.6690"
552,"12662.4240"
553,"12678.8860"
554,"12695.4260"
555,"12712.0290"
556,"12728.6150"
557,"12745.3620"
558,"12761.7620"
559,"12778.4200"
560,"12795.1530"
561,"12811.8080"
562,"12828.1210"
563,"12844.8600"
564,"12861.3600"
565,"12878.3810"
566,"13077.0650"
567,"13093.6940"
568,"13110.3580"
569,"13342.6030"
570,"13359.4530"
571,"13376.3200"
572,"13392.4320"
573,"13409.0850"
574,"13425.6190"
575,"13442.3930"
576,"13458.8050"
577,"13475.4080"
578,"13492.4570"
579,"13508.9140"
580,"13525.1250"
581,"13542.2800"
582,"13558.5400"
583,"13575.5210"
584,"13591.5260"
585,"13608.1140"
586,"13624.7960"
587,"13641.3980"
588,"13658.3510"
589,"13674.5500"
590,"13691.3070"
591,"13707.8660"
592,"13724.3490"
593,"13741.8880"
594,"13757.4990"
595,"13774.2290"
596,"13790.7690"
597,"13808.0100"
598,"13824.4170"
599,"13840.6040"
600,"13857.1450"
601,"13873.6780"
602,"13890.2620"
603,"13906.9240"
604,"13923.7510"
605,"13939.9950"
606,"13956.6320"
607,"13973.2730"
608,"13990.0210"
609,"14006.4900"
610,"14023.2220"
611,"14040.2780"
612,"14056.2730"
613,"14072.8190"
614,"14089.3900"
615,"14106.0310"
616,"14122.6690"
617,"14305.2340"
618,"14321.7730"
619,"14338.3890"
620,"14354.9030"
621,"14371.8690"
622,"14388.2700"
623,"14404.7350"
624,"14421.3910"
625,"14437.9760"
626,"14454.6120"
627,"14471.2410"
628,"14487.7180"
629,"14504.3530"
630,"14521.2970"
631,"14537.4660"
632,"14554.1070"
633,"14570.6940"
634,"14587.4370"
635,"14603.8370"
636,"14620.5360"
637,"14637.0550"
638,"14654.3810"
639,"14670.2540"
640,"14686.8470"
641,"14703.5030"
642,"14719.9720"
643,"14736.6330"
644,"14753.2380"
645,"14769.9090"
646,"14786.3570"
647,"14803.1310"
648,"14819.5960"
649,"14836.3000"
650,"14852.7630"
651,"14869.3870"
652,"15118.4000"
653,"15135.2180"
654,"15151.5200"
655,"15168.1760"
656,"15334.2720"
657,"15350.6510"
658,"15367.4090"
659,"15516.8350"
660,"15533.2190"
661,"15549.7840"
662,"15566.4320"
663,"15583.1790"
664,"15599.7250"
665,"15616.3260"
666,"15632.9190"
667,"15649.4180"
668,"15666.0040"
669,"15682.5900"
670,"15699.2650"
671,"15715.7560"
672,"15732.4050"
673,"15749.2920"
674,"15765.5750"
675,"15782.4130"
676,"15798.7010"
677,"15815.4000"
678,"15832.2500"
679,"15848.8080"
680,"15865.1170"
681,"15881.7980"
682,"15898.3660"
683,"15915.1270"
684,"15931.5050"
685,"15948.5530"
686,"15965.2070"
687,"15981.2990"
688,"15998.3280"
689,"16014.4940"
690,"16031.2440"
691,"16047.6100"
692,"16064.2400"
693,"16080.8680"
694,"16097.5270"
695,"16114.0100"
696,"16130.6730"
697,"16147.2990"
698,"16163.9290"
699,"16180.8000"
700,"16196.9690"
701,"16213.8980"
702,"16230.3380"
703,"16247.5740"
704,"16263.4420"
705,"16280.0050"
706,"16297.6390"
707,"16313.2030"
708,"16329.7580"
709,"16346.3980"
710,"16363.2290"
711,"16379.6810"
712,"16396.1660"
713,"16412.8070"
714,"16429.4140"
715,"16446.0310"
716,"16463.2700"
717,"16479.3720"
718,"16495.7920"
719,"16512.4370"
720,"16528.9110"
721,"16545.4710"
722,"16562.2200"
723,"16579.4510"
724,"16595.4100"
725,"16612.0140"
726,"16628.5430"
727,"16645.1270"
728,"16661.8350"
729,"16678.2370"
730,"16694.8920"
731,"16711.7200"
732,"16728.0710"
733,"16744.7150"
734,"16761.2850"
735,"16777.9660"
736,"16794.6570"
737,"16811.1520"
738,"16827.6490"
739,"16844.2390"
740,"16861.3990"
741,"16877.5120"
742,"16895.1920"
743,"16910.6820"
744,"16927.3200"
745,"16943.8490"
746,"17192.7330"
747,"17209.4920"
748,"17226.0470"
749,"17242.5610"
750,"17259.2220"
751,"17275.7290"
752,"17292.5090"
753,"17308.9850"
754,"17325.5080"
755,"17346.5470"
756,"17375.4240"
757,"17391.8790"
758,"17408.5900"
759,"17425.1420"
760,"17441.8580"
761,"17458.3670"
762,"17475.1300"
763,"17491.4530"
764,"17508.0680"
765,"17524.7710"
766,"17541.2340"
767,"17557.8590"
768,"17574.5220"
769,"17591.3520"
770,"17607.9320"
771,"17624.2350"
772,"17640.9920"
773,"17657.7320"
774,"17673.9770"
775,"17690.6780"
776,"17707.3800"
777,"17723.7800"
