RecordingTime [ms],Time of Day [h:m:s:ms],Category Binocular,Index Binocular,Point of Regard Binocular X [px],Point of Regard Binocular Y [px],AOI Name Binocular
0,01:35:43:673,User Event,0,-,-,-
0,01:35:43:673,-,-,0.0,0.0,White Space
16.6,01:35:43:690,-,-,0.0,0.0,White Space
33.2,01:35:43:706,-,-,0.0,0.0,White Space
50.3,01:35:43:723,-,-,0.0,0.0,White Space
66.2,01:35:43:739,-,-,0.0,0.0,White Space
83.5,01:35:43:756,-,-,0.0,0.0,White Space
99.6,01:35:43:773,-,-,0.0,0.0,White Space
116.1,01:35:43:789,-,-,0.0,0.0,White Space
132.8,01:35:43:806,-,-,0.0,0.0,White Space
149.4,01:35:43:822,-,-,0.0,0.0,White Space
166.2,01:35:43:839,-,-,0.0,0.0,White Space
182.6,01:35:43:856,-,-,0.0,0.0,White Space
199,01:35:43:872,-,-,0.0,0.0,White Space
216.2,01:35:43:889,-,-,0.0,0.0,White Space
232.1,01:35:43:905,-,-,0.0,0.0,-
249.4,01:35:43:922,Visual Intake,1250,515.9,170.2,Spool 3
265.8,01:35:43:939,Visual Intake,1250,515.9,170.2,Spool 3
282,01:35:43:955,Visual Intake,1250,515.9,170.2,Spool 3
298.8,01:35:43:972,Visual Intake,1250,515.9,170.2,Spool 3
315.2,01:35:43:988,Visual Intake,1250,515.9,170.2,Spool 3
332.3,01:35:44:005,Visual Intake,1250,515.9,170.2,Spool 3
348.9,01:35:44:022,Visual Intake,1250,515.9,170.2,Spool 3
365.1,01:35:44:038,Visual Intake,1250,515.9,170.2,Spool 3
381.8,01:35:44:055,Visual Intake,1250,515.9,170.2,Spool 3
398.3,01:35:44:071,Visual Intake,1250,515.9,170.2,Spool 3
415.3,01:35:44:088,Visual Intake,1250,515.9,170.2,Spool 3
431.9,01:35:44:105,Visual Intake,1250,515.9,170.2,Spool 3
448,01:35:44:121,Visual Intake,1250,515.9,170.2,Spool 3
465.1,01:35:44:138,Visual Intake,1250,515.9,170.2,Spool 3
481.2,01:35:44:154,Visual Intake,1250,515.9,170.2,Spool 3
498.1,01:35:44:171,Visual Intake,1250,515.9,170.2,Spool 3
514.8,01:35:44:188,Saccade,1,515.9,170.2,Spool 3
531.1,01:35:44:204,-,-,0.0,0.0,-
548.1,01:35:44:221,-,-,0.0,0.0,-
564.1,01:35:44:237,Visual Intake,1251,349.4,259.2,Spool 3
580.8,01:35:44:254,Visual Intake,1251,349.4,259.2,Spool 3
597.8,01:35:44:271,Visual Intake,1251,349.4,259.2,Spool 3
613.9,01:35:44:287,Visual Intake,1251,349.4,259.2,Spool 3
630.9,01:35:44:304,Visual Intake,1251,349.4,259.2,Spool 3
647.1,01:35:44:320,Visual Intake,1251,349.4,259.2,Spool 3
664.3,01:35:44:337,Visual Intake,1251,349.4,259.2,Spool 3
680.9,01:35:44:354,Visual Intake,1251,349.4,259.2,Spool 3
697,01:35:44:370,Visual Intake,1251,349.4,259.2,Spool 3
714.1,01:35:44:387,Visual Intake,1251,349.4,259.2,Spool 3
730.2,01:35:44:403,Visual Intake,1251,349.4,259.2,Spool 3
